14/07/01-10:05:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.973/255.746/264.482/5.990 ms
14/07/01-10:06:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.108/254.430/257.416/3.347 ms
14/07/01-10:08:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.944/255.845/259.459/4.079 ms
14/07/01-10:10:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.186/258.589/265.205/3.351 ms
14/07/01-10:11:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 249.066/257.090/265.176/5.134 ms
14/07/01-10:13:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.562/255.528/257.473/3.022 ms
14/07/01-10:15:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 249.181/255.901/258.778/3.432 ms
14/07/01-10:16:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.367/257.757/260.884/1.665 ms
14/07/01-10:18:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 246.574/250.801/256.288/3.649 ms
14/07/01-10:20:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 248.587/253.808/257.545/3.667 ms
14/07/01-10:21:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.067/253.917/257.687/4.471 ms
14/07/01-10:23:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 255.230/258.593/266.544/4.051 ms
14/07/01-10:25:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 256.102/259.350/265.018/3.117 ms
14/07/01-10:26:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.817/255.607/257.110/2.519 ms
14/07/01-10:28:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.156/254.194/257.380/3.753 ms
14/07/01-10:30:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 254.796/258.146/265.165/3.648 ms
14/07/01-10:31:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 250.243/255.013/259.223/3.919 ms
14/07/01-10:33:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 257.062/260.652/266.550/4.287 ms
14/07/01-10:35:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.675/254.521/257.704/3.936 ms
14/07/01-10:36:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.053/258.991/264.499/2.851 ms
14/07/01-10:38:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.691/253.499/257.384/4.667 ms
14/07/01-10:40:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 249.564/257.290/265.285/4.974 ms
14/07/01-10:41:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.600/256.378/259.484/3.049 ms
14/07/01-10:43:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 248.124/256.663/265.240/5.525 ms
14/07/01-10:45:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 250.326/255.628/257.378/2.766 ms
14/07/01-10:46:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 257.074/258.102/260.259/1.265 ms
14/07/01-10:48:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.659/253.455/257.572/4.658 ms
14/07/01-10:49:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.703/250.000/252.776/2.124 ms
14/07/01-10:51:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 255.811/258.371/265.235/3.524 ms
14/07/01-10:53:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.310/259.098/265.187/3.102 ms
14/07/01-10:54:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.046/255.340/257.203/3.212 ms
14/07/01-10:56:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.804/257.769/264.437/3.772 ms
14/07/01-10:58:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 248.080/254.475/258.464/3.873 ms
14/07/01-10:59:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 250.424/254.427/257.115/3.268 ms
14/07/01-11:01:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 246.894/254.957/257.304/4.060 ms
14/07/01-11:03:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.226/253.209/257.385/2.831 ms
14/07/01-11:04:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 248.717/254.133/259.252/4.243 ms
14/07/01-11:06:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 247.683/253.439/257.380/4.105 ms
14/07/01-11:08:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.631/253.131/257.351/4.501 ms
14/07/01-11:09:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.078/257.213/257.422/0.157 ms
14/07/01-11:11:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 248.624/255.312/257.371/3.420 ms
14/07/01-11:13:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 246.611/253.044/257.372/5.113 ms
14/07/01-11:14:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 247.111/255.133/257.412/4.043 ms
14/07/01-11:16:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.376/258.316/259.939/1.431 ms
14/07/01-11:18:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 257.019/259.041/265.165/3.207 ms
14/07/01-11:19:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 254.823/257.536/259.486/1.781 ms
14/07/01-11:21:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.393/255.610/257.116/2.663 ms
14/07/01-11:23:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.651/252.296/257.153/4.030 ms
14/07/01-11:24:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 246.610/250.333/257.059/3.771 ms
14/07/01-11:26:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.338/257.273/258.519/0.779 ms
14/07/01-11:28:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.139/256.262/259.533/3.734 ms
14/07/01-11:29:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 246.581/253.619/259.443/5.395 ms
14/07/01-11:31:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.050/253.573/257.063/2.707 ms
14/07/01-11:33:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.748/252.455/258.409/4.439 ms
14/07/01-11:34:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 257.082/257.777/259.268/1.044 ms
14/07/01-11:36:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.178/256.946/257.382/0.515 ms
14/07/01-11:38:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 248.153/254.407/259.033/4.299 ms
14/07/01-11:39:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.320/255.063/257.372/3.018 ms
14/07/01-11:41:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 250.235/254.196/257.188/3.231 ms
14/07/01-11:43:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 247.909/253.253/257.634/4.358 ms
14/07/01-11:44:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 248.039/256.781/264.508/5.254 ms
14/07/01-11:46:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 257.036/259.034/265.189/3.155 ms
14/07/01-11:48:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 254.854/258.644/265.560/3.688 ms
14/07/01-11:49:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 247.400/254.121/258.808/4.361 ms
14/07/01-11:51:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 257.106/257.943/258.800/0.552 ms
14/07/01-11:53:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.710/255.012/265.215/6.639 ms
14/07/01-11:54:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 249.276/255.352/260.180/3.864 ms
14/07/01-11:56:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 255.288/257.077/259.452/1.493 ms
14/07/01-11:58:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 256.934/257.388/258.834/0.912 ms
14/07/01-11:59:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 250.367/254.006/257.175/2.718 ms
14/07/01-12:01:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.623/253.692/258.485/4.882 ms
14/07/01-12:03:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 257.077/259.694/265.257/3.000 ms
