14/07/01-10:06:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 163.662/163.822/163.891/0.518 ms
14/07/01-10:07:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 163.700/163.841/164.242/0.550 ms
14/07/01-10:09:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.671/163.788/163.967/0.522 ms
14/07/01-10:11:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.785/163.922/164.158/0.528 ms
14/07/01-10:12:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.689/163.742/163.887/0.517 ms
14/07/01-10:14:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.689/163.729/163.791/0.513 ms
14/07/01-10:16:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.653/163.743/163.815/0.061 ms
14/07/01-10:17:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.666/164.123/165.767/0.861 ms
14/07/01-10:19:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.711/163.790/163.916/0.517 ms
14/07/01-10:21:00 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 163.692/164.003/165.085/0.599 ms
14/07/01-10:22:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 163.602/163.824/164.172/0.489 ms
14/07/01-10:24:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 163.720/163.813/163.938/0.517 ms
14/07/01-10:25:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.691/163.966/164.764/0.650 ms
14/07/01-10:27:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.682/163.796/163.946/0.452 ms
14/07/01-10:29:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.737/163.908/164.219/0.177 ms
14/07/01-10:30:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.714/163.877/164.016/0.455 ms
14/07/01-10:32:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.702/163.787/164.006/0.379 ms
14/07/01-10:34:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.670/163.772/163.935/0.273 ms
14/07/01-10:35:55 - 5 packets transmitted, 4 received, 20% packet loss, time 3999ms rtt min/avg/max/mdev = 163.731/163.847/164.020/0.306 ms
14/07/01-10:37:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 163.674/163.704/163.750/0.257 ms
14/07/01-10:39:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.562/163.724/164.108/0.196 ms
14/07/01-10:40:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 163.725/164.044/164.960/0.695 ms
14/07/01-10:42:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.730/163.891/164.003/0.519 ms
14/07/01-10:44:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 164.706/165.542/166.492/0.747 ms
14/07/01-10:45:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 163.730/163.871/164.064/0.458 ms
14/07/01-10:47:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.696/163.804/163.988/0.376 ms
14/07/01-10:49:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.743/163.790/163.851/0.444 ms
14/07/01-10:50:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.701/164.423/166.722/1.261 ms
14/07/01-10:52:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.670/163.752/163.825/0.260 ms
14/07/01-10:54:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.788/163.845/163.889/0.513 ms
14/07/01-10:55:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.703/163.903/164.451/0.379 ms
14/07/01-10:57:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.623/164.060/164.941/0.641 ms
14/07/01-10:59:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 163.673/163.809/163.955/0.280 ms
14/07/01-11:00:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 163.715/163.837/164.038/0.281 ms
14/07/01-11:02:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.790/164.480/165.927/0.990 ms
14/07/01-11:04:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 163.691/163.909/164.369/0.438 ms
14/07/01-11:05:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 163.715/163.798/163.913/0.448 ms
14/07/01-11:07:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.710/164.002/164.904/0.581 ms
14/07/01-11:09:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.713/163.739/163.789/0.029 ms
14/07/01-11:10:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.721/163.953/164.689/0.450 ms
14/07/01-11:12:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 163.658/163.861/164.359/0.258 ms
14/07/01-11:14:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.709/164.895/167.111/1.400 ms
14/07/01-11:15:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 163.733/164.003/164.537/0.584 ms
14/07/01-11:17:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.723/163.804/163.902/0.448 ms
14/07/01-11:19:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.502/163.753/163.905/0.146 ms
14/07/01-11:20:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.704/164.258/165.489/0.778 ms
14/07/01-11:22:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 163.674/163.818/164.303/0.242 ms
14/07/01-11:24:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.749/164.645/167.442/1.424 ms
14/07/01-11:25:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 163.697/163.787/163.906/0.516 ms
14/07/01-11:27:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.663/163.780/163.887/0.450 ms
14/07/01-11:29:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.687/163.875/164.294/0.420 ms
14/07/01-11:30:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 163.676/163.764/163.942/0.520 ms
