14/07/01-10:05:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.247/293.852/294.614/0.863 ms
14/07/01-10:06:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.373/298.710/303.064/3.245 ms
14/07/01-10:08:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 301.873/306.743/309.501/2.840 ms
14/07/01-10:10:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 299.448/304.192/308.926/3.406 ms
14/07/01-10:11:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 293.624/296.645/300.622/2.321 ms
14/07/01-10:13:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.453/296.503/302.024/2.850 ms
14/07/01-10:14:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.378/293.883/294.355/0.672 ms
14/07/01-10:16:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.852/295.182/296.198/0.965 ms
14/07/01-10:18:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 295.211/298.238/300.519/2.091 ms
14/07/01-10:19:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.196/294.588/297.700/1.663 ms
14/07/01-10:21:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 293.257/294.407/295.600/1.112 ms
14/07/01-10:23:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.009/296.875/301.223/2.383 ms
14/07/01-10:24:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 293.357/294.543/296.804/1.413 ms
14/07/01-10:26:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 304.807/308.746/312.481/2.735 ms
14/07/01-10:28:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 300.556/303.275/309.529/3.272 ms
14/07/01-10:29:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 308.997/313.674/317.344/3.042 ms
14/07/01-10:31:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.241/293.920/294.961/0.778 ms
14/07/01-10:33:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.220/294.002/294.717/0.762 ms
14/07/01-10:34:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.292/293.694/294.550/0.689 ms
14/07/01-10:36:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.074/293.770/294.135/0.529 ms
14/07/01-10:38:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.234/294.010/294.737/0.729 ms
14/07/01-10:39:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.227/294.091/295.565/0.918 ms
14/07/01-10:41:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.675/294.212/295.905/1.036 ms
14/07/01-10:43:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.142/293.485/293.718/0.212 ms
14/07/01-10:44:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 293.216/293.887/294.496/0.747 ms
14/07/01-10:46:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.196/294.265/296.041/1.226 ms
14/07/01-10:48:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 293.161/293.671/294.415/0.753 ms
14/07/01-10:49:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 293.495/293.981/294.420/0.627 ms
14/07/01-10:51:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 293.442/294.576/296.072/0.951 ms
14/07/01-10:53:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 293.148/293.443/293.833/0.670 ms
14/07/01-10:54:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.185/293.434/293.756/0.524 ms
14/07/01-10:56:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.568/293.897/294.722/0.557 ms
14/07/01-10:58:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 297.716/301.321/305.842/2.886 ms
14/07/01-10:59:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 304.750/313.478/317.741/4.718 ms
14/07/01-11:01:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 343.384/347.424/353.020/4.220 ms
14/07/01-11:03:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 322.065/328.857/334.333/4.391 ms
14/07/01-11:04:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 326.443/328.363/331.374/1.895 ms
14/07/01-11:06:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 358.983/388.195/400.503/15.184 ms
14/07/01-11:08:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 356.727/359.978/367.269/3.941 ms
14/07/01-11:09:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 357.270/361.490/366.234/3.686 ms
14/07/01-11:11:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 293.154/293.501/294.000/0.486 ms
14/07/01-11:13:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.098/293.810/294.651/0.855 ms
14/07/01-11:14:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 293.220/294.433/295.915/1.342 ms
14/07/01-11:16:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.195/293.722/294.787/0.810 ms
14/07/01-11:18:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.226/293.816/294.619/0.825 ms
14/07/01-11:19:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 359.637/365.694/371.154/4.620 ms
14/07/01-11:21:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 293.227/293.768/294.932/0.913 ms
14/07/01-11:22:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.151/293.521/294.041/0.583 ms
14/07/01-11:24:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.174/293.391/293.679/0.382 ms
14/07/01-11:26:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 294.436/296.565/299.579/1.880 ms
14/07/01-11:27:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 318.496/322.720/329.308/4.128 ms
14/07/01-11:29:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.083/293.600/294.148/0.772 ms
14/07/01-11:31:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 293.226/293.681/294.658/0.780 ms
14/07/01-11:32:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 293.287/293.705/294.172/0.594 ms
14/07/01-11:34:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 293.121/294.014/294.706/0.660 ms
14/07/01-11:36:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 293.221/293.849/294.157/0.761 ms
14/07/01-11:37:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 293.607/294.121/294.910/0.812 ms
