14/07/01-10:05:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.333/108.360/108.400/0.209 ms
14/07/01-10:07:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.300/108.335/108.358/0.021 ms
14/07/01-10:09:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.302/108.343/108.404/0.211 ms
14/07/01-10:10:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.192/108.423/108.924/0.330 ms
14/07/01-10:12:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.342/108.391/108.552/0.369 ms
14/07/01-10:14:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.310/108.331/108.381/0.417 ms
14/07/01-10:15:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.325/109.103/111.882/1.422 ms
14/07/01-10:17:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.306/108.774/110.103/0.748 ms
14/07/01-10:19:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.311/108.811/110.604/0.944 ms
14/07/01-10:20:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.303/108.384/108.513/0.079 ms
14/07/01-10:22:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.326/108.351/108.404/0.417 ms
14/07/01-10:24:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.210/108.324/108.455/0.222 ms
14/07/01-10:25:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.285/108.323/108.366/0.417 ms
14/07/01-10:27:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.307/108.332/108.360/0.019 ms
14/07/01-10:29:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 108.132/108.350/108.614/0.258 ms
14/07/01-10:30:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.320/108.455/108.925/0.376 ms
14/07/01-10:32:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.357/108.553/109.323/0.385 ms
14/07/01-10:34:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.285/108.338/108.428/0.048 ms
14/07/01-10:35:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.216/108.331/108.414/0.218 ms
14/07/01-10:37:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 108.327/108.382/108.537/0.423 ms
14/07/01-10:39:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.206/108.300/108.391/0.216 ms
14/07/01-10:40:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.361/108.559/109.270/0.461 ms
14/07/01-10:42:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.302/108.424/108.699/0.258 ms
14/07/01-10:44:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.303/109.535/110.487/0.843 ms
14/07/01-10:45:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.324/108.352/108.376/0.208 ms
14/07/01-10:47:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 108.305/108.432/108.880/0.424 ms
14/07/01-10:49:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.331/108.439/108.542/0.425 ms
14/07/01-10:50:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.303/108.792/109.283/0.551 ms
14/07/01-10:52:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.302/108.397/108.650/0.435 ms
14/07/01-10:54:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.303/108.359/108.389/0.417 ms
14/07/01-10:55:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.313/108.368/108.418/0.362 ms
14/07/01-10:57:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.334/108.593/109.508/0.618 ms
14/07/01-10:59:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.350/108.388/108.507/0.365 ms
14/07/01-11:00:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.238/108.365/108.665/0.443 ms
14/07/01-11:02:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.212/108.418/108.936/0.264 ms
14/07/01-11:04:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.313/108.461/108.978/0.391 ms
14/07/01-11:05:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.297/108.342/108.417/0.362 ms
14/07/01-11:07:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.258/108.423/108.888/0.376 ms
14/07/01-11:09:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.211/108.414/108.984/0.411 ms
14/07/01-11:10:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.113/109.394/113.856/2.271 ms
14/07/01-11:12:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.245/108.710/110.210/0.784 ms
14/07/01-11:13:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.215/108.564/109.163/0.505 ms
14/07/01-11:15:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.314/108.336/108.380/0.361 ms
14/07/01-11:17:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.100/108.350/108.651/0.343 ms
14/07/01-11:18:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.249/108.345/108.458/0.422 ms
14/07/01-11:20:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.237/108.796/110.864/1.034 ms
14/07/01-11:22:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.317/108.788/109.575/0.553 ms
14/07/01-11:23:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.342/108.365/108.402/0.361 ms
14/07/01-11:25:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.330/108.357/108.416/0.210 ms
14/07/01-11:27:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.297/108.399/108.683/0.388 ms
14/07/01-11:28:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.318/108.655/109.929/0.702 ms
14/07/01-11:30:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.225/108.525/109.416/0.447 ms
14/07/01-11:32:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 108.108/108.421/108.942/0.352 ms
14/07/01-11:33:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.211/108.695/110.225/0.795 ms
14/07/01-11:35:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.211/108.494/109.245/0.479 ms
14/07/01-11:37:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.300/108.363/108.517/0.369 ms
14/07/01-11:38:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.317/108.411/108.664/0.129 ms
14/07/01-11:40:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.312/108.767/110.101/0.687 ms
14/07/01-11:42:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.234/109.237/110.849/1.161 ms
14/07/01-11:43:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.451/110.006/111.428/1.141 ms
14/07/01-11:45:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.305/108.346/108.408/0.296 ms
14/07/01-11:47:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.280/108.449/108.966/0.445 ms
14/07/01-11:48:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.308/108.357/108.444/0.298 ms
14/07/01-11:50:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 108.286/108.471/108.937/0.431 ms
14/07/01-11:52:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.277/108.329/108.422/0.419 ms
14/07/01-11:53:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.226/109.120/112.248/1.580 ms
14/07/01-11:55:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.287/108.465/109.102/0.524 ms
14/07/01-11:57:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.327/108.400/108.604/0.311 ms
14/07/01-11:58:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.280/108.861/109.869/0.700 ms
14/07/01-12:00:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 108.245/108.807/109.819/0.696 ms
14/07/01-12:02:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 108.326/108.348/108.382/0.209 ms
14/07/01-12:04:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 108.230/108.324/108.439/0.366 ms
14/07/01-12:06:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.191/108.713/110.382/0.862 ms
14/07/01-12:07:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.320/108.362/108.434/0.297 ms
14/07/01-12:09:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.195/108.323/108.458/0.224 ms
14/07/01-12:11:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 108.236/108.354/108.430/0.302 ms
14/07/01-12:13:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 108.321/108.483/108.718/0.154 ms
14/07/01-12:15:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 108.311/109.446/111.531/1.365 ms
