14/07/01-10:05:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.071/171.136/171.181/0.455 ms
14/07/01-10:07:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.031/171.072/171.139/0.264 ms
14/07/01-10:09:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.080/171.548/172.479/0.537 ms
14/07/01-10:10:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.026/171.182/171.485/0.161 ms
14/07/01-10:12:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.069/171.242/171.592/0.320 ms
14/07/01-10:14:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 171.423/172.073/172.734/0.592 ms
14/07/01-10:15:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 170.977/171.408/172.823/0.708 ms
14/07/01-10:17:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.026/171.116/171.257/0.082 ms
14/07/01-10:19:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.021/171.339/172.388/0.694 ms
14/07/01-10:20:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.073/171.159/171.356/0.465 ms
14/07/01-10:22:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.051/171.148/171.246/0.066 ms
14/07/01-10:24:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.048/171.279/172.020/0.586 ms
14/07/01-10:25:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 171.075/171.270/171.824/0.384 ms
14/07/01-10:27:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 171.053/171.205/171.652/0.224 ms
14/07/01-10:29:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.100/171.242/171.397/0.286 ms
14/07/01-10:30:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 171.082/171.625/173.515/0.946 ms
14/07/01-10:32:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.054/171.155/171.311/0.461 ms
14/07/01-10:34:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 171.109/171.484/172.908/0.758 ms
14/07/01-10:35:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.058/171.139/171.296/0.274 ms
14/07/01-10:37:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 171.064/171.147/171.277/0.378 ms
