14/07/01-10:04:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 249.059/249.106/249.196/0.633 ms
14/07/01-10:06:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.056/249.106/249.234/0.065 ms
14/07/01-10:07:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 249.106/249.145/249.235/0.548 ms
14/07/01-10:09:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.069/249.108/249.181/0.548 ms
14/07/01-10:11:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.146/250.051/253.570/1.787 ms
14/07/01-10:12:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.066/249.108/249.186/0.548 ms
14/07/01-10:14:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 249.075/249.104/249.161/0.447 ms
14/07/01-10:16:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.062/249.120/249.245/0.550 ms
14/07/01-10:17:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.082/249.123/249.278/0.453 ms
14/07/01-10:19:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 249.090/249.126/249.202/0.632 ms
14/07/01-10:21:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.066/249.117/249.191/0.042 ms
14/07/01-10:22:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 249.097/249.414/250.445/0.606 ms
14/07/01-10:24:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.110/249.134/249.175/0.023 ms
14/07/01-10:26:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.091/249.187/249.428/0.338 ms
14/07/01-10:27:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.121/249.191/249.377/0.639 ms
14/07/01-10:29:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.068/249.210/249.686/0.395 ms
14/07/01-10:31:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 249.066/249.100/249.174/0.448 ms
14/07/01-10:32:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.054/249.122/249.219/0.450 ms
14/07/01-10:34:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 249.091/249.156/249.267/0.322 ms
14/07/01-10:36:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.076/249.105/249.174/0.317 ms
