14/07/01-10:05:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 87.753/92.216/97.020/3.380 ms
14/07/01-10:07:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 91.871/95.102/102.594/3.906 ms
14/07/01-10:08:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 90.302/96.092/104.992/5.104 ms
14/07/01-10:10:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 113.744/120.364/125.992/4.346 ms
14/07/01-10:12:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 122.987/144.473/163.709/13.103 ms
14/07/01-10:13:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 87.940/101.619/114.293/8.956 ms
14/07/01-10:15:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.101/100.246/106.032/5.551 ms
14/07/01-10:17:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 89.215/135.486/165.139/25.701 ms
14/07/01-10:18:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 84.978/98.384/112.809/11.208 ms
14/07/01-10:20:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 83.920/105.128/117.867/11.346 ms
14/07/01-10:22:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 97.045/107.025/115.341/5.867 ms
14/07/01-10:23:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 88.989/97.495/111.744/8.691 ms
14/07/01-10:25:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.568/91.657/100.081/7.042 ms
14/07/01-10:27:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 87.634/93.446/99.805/4.399 ms
14/07/01-10:28:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 80.496/85.600/92.232/4.508 ms
14/07/01-10:30:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 81.934/87.887/97.802/5.773 ms
14/07/01-10:31:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 88.416/92.942/98.461/3.981 ms
14/07/01-10:33:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 95.862/106.255/116.893/8.584 ms
14/07/01-10:35:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.939/114.884/124.018/7.493 ms
14/07/01-10:36:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 80.705/89.711/104.600/7.952 ms
14/07/01-10:38:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 81.686/94.408/101.002/6.757 ms
14/07/01-10:40:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 81.565/91.454/103.636/8.084 ms
14/07/01-10:41:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4010ms rtt min/avg/max/mdev = 89.171/93.894/96.198/2.671 ms
14/07/01-10:43:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.582/92.505/97.527/5.327 ms
14/07/01-10:45:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 88.834/102.467/111.292/7.992 ms
