14/07/01-10:06:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 328.382/328.541/328.672/0.527 ms
14/07/01-10:08:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 328.243/328.331/328.511/0.375 ms
14/07/01-10:10:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.397/337.551/337.735/0.536 ms
14/07/01-10:11:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 337.480/337.533/337.581/0.735 ms
14/07/01-10:13:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.187/328.416/328.634/0.740 ms
14/07/01-10:15:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 328.378/328.475/328.616/0.371 ms
14/07/01-10:16:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.274/328.534/328.710/0.142 ms
14/07/01-10:18:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 337.310/337.454/337.582/0.528 ms
14/07/01-10:20:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.517/337.588/337.740/0.526 ms
14/07/01-10:21:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 328.379/328.571/328.920/0.749 ms
14/07/01-10:23:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 328.417/328.464/328.559/0.630 ms
14/07/01-10:24:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 328.404/328.457/328.512/0.513 ms
14/07/01-10:26:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.329/328.467/328.621/0.525 ms
14/07/01-10:28:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 337.570/337.625/337.676/0.521 ms
14/07/01-10:29:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.522/337.608/337.806/0.529 ms
14/07/01-10:31:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.516/337.601/337.735/0.078 ms
14/07/01-10:33:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 328.365/328.433/328.480/0.629 ms
14/07/01-10:34:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.410/337.593/337.774/0.392 ms
14/07/01-10:36:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 328.246/328.342/328.513/0.091 ms
14/07/01-10:38:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 328.310/328.441/328.591/0.104 ms
14/07/01-10:39:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 337.207/337.546/337.803/0.769 ms
14/07/01-10:41:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.305/328.522/328.705/0.129 ms
14/07/01-10:43:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 328.273/328.463/328.663/0.128 ms
14/07/01-10:44:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.237/328.441/328.550/0.735 ms
14/07/01-10:46:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 328.320/328.505/328.647/0.644 ms
14/07/01-10:48:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.343/337.563/337.789/0.149 ms
14/07/01-10:49:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 337.398/337.577/338.019/0.771 ms
14/07/01-10:51:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 337.449/337.537/337.609/0.523 ms
14/07/01-10:53:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 328.438/328.526/328.641/0.632 ms
14/07/01-10:54:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.461/337.568/337.755/0.644 ms
14/07/01-10:56:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 328.332/328.457/328.626/0.732 ms
14/07/01-10:58:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.289/328.484/328.637/0.530 ms
14/07/01-10:59:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 337.390/337.541/337.657/0.644 ms
14/07/01-11:01:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.432/337.536/337.718/0.741 ms
14/07/01-11:03:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 328.340/328.518/328.612/0.635 ms
14/07/01-11:04:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.472/337.630/337.858/0.748 ms
14/07/01-11:06:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 337.389/337.667/337.770/0.651 ms
14/07/01-11:08:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 328.536/332.190/337.629/4.439 ms
14/07/01-11:09:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.440/337.596/337.793/0.390 ms
14/07/01-11:11:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.324/328.497/328.777/0.163 ms
14/07/01-11:13:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 328.387/328.455/328.535/0.629 ms
14/07/01-11:14:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 337.515/337.667/337.951/0.656 ms
14/07/01-11:16:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 328.400/333.888/337.508/4.409 ms
14/07/01-11:18:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 328.376/328.598/328.771/0.643 ms
14/07/01-11:19:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 337.425/337.566/337.705/0.532 ms
14/07/01-11:21:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.410/337.476/337.640/0.087 ms
14/07/01-11:23:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 328.440/329.203/331.725/1.411 ms
14/07/01-11:24:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.366/337.545/337.801/0.656 ms
14/07/01-11:26:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 328.263/328.450/328.645/0.535 ms
14/07/01-11:28:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 331.900/331.975/332.051/0.056 ms
14/07/01-11:29:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 331.773/331.935/332.184/0.648 ms
14/07/01-11:31:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 331.834/332.040/332.155/0.136 ms
14/07/01-11:33:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 340.988/341.245/341.354/0.136 ms
14/07/01-11:34:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 340.866/341.074/341.292/0.400 ms
14/07/01-11:36:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 340.893/341.311/342.436/0.774 ms
14/07/01-11:38:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 340.971/341.074/341.144/0.741 ms
14/07/01-11:39:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 341.092/341.154/341.220/0.740 ms
14/07/01-11:41:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 340.991/341.151/341.240/0.098 ms
14/07/01-11:43:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 340.961/341.081/341.234/0.744 ms
14/07/01-11:44:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 337.406/337.645/337.959/0.758 ms
14/07/01-11:46:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 337.366/337.547/337.726/0.387 ms
14/07/01-11:47:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.452/337.615/337.761/0.646 ms
14/07/01-11:49:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 328.371/328.471/328.571/0.369 ms
14/07/01-11:51:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 328.431/328.558/328.711/0.636 ms
14/07/01-11:52:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 337.490/337.726/337.935/0.753 ms
14/07/01-11:54:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.526/337.639/337.851/0.533 ms
14/07/01-11:56:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 337.349/337.599/337.853/0.403 ms
14/07/01-11:57:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 328.274/328.406/328.553/0.110 ms
14/07/01-11:59:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 328.379/328.500/328.602/0.730 ms
14/07/01-12:01:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.426/328.516/328.596/0.058 ms
14/07/01-12:03:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.567/337.652/337.731/0.054 ms
14/07/01-12:05:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 337.431/337.588/337.662/0.377 ms
14/07/01-12:07:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.455/337.662/337.816/0.388 ms
14/07/01-12:08:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 337.455/337.602/337.740/0.528 ms
14/07/01-12:10:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 337.400/337.527/337.718/0.646 ms
14/07/01-12:12:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.514/337.602/337.705/0.524 ms
14/07/01-12:14:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 337.380/337.532/337.711/0.651 ms
14/07/01-12:16:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.292/337.537/337.788/0.658 ms
14/07/01-12:17:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 337.413/337.500/337.576/0.639 ms
14/07/01-12:19:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 328.341/328.561/328.663/0.380 ms
14/07/01-12:21:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.439/328.517/328.586/0.726 ms
14/07/01-12:23:18 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 328.482/328.640/328.829/0.734 ms
14/07/01-12:25:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 328.329/328.482/328.651/0.736 ms
14/07/01-12:26:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 328.351/328.499/328.697/0.639 ms
14/07/01-12:28:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 328.262/328.380/328.530/0.634 ms
14/07/01-12:30:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 328.357/328.467/328.571/0.728 ms
14/07/01-12:32:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 337.531/337.617/337.764/0.528 ms
14/07/01-12:34:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.269/328.443/328.629/0.140 ms
14/07/01-12:36:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 328.311/328.486/328.739/0.403 ms
14/07/01-12:37:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.420/328.529/328.603/0.372 ms
14/07/01-12:39:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 328.180/328.441/328.549/0.387 ms
14/07/01-12:41:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 328.424/329.052/331.097/1.203 ms
14/07/01-12:43:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 337.470/337.541/337.573/0.520 ms
14/07/01-12:45:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.493/328.592/328.689/0.370 ms
14/07/01-12:47:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 328.486/328.575/328.753/0.521 ms
14/07/01-12:48:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.513/335.743/337.631/3.615 ms
14/07/01-12:50:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 328.606/332.323/337.931/4.517 ms
14/07/01-12:52:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 337.591/337.640/337.765/0.523 ms
14/07/01-12:54:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.448/337.643/337.839/0.124 ms
14/07/01-12:56:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 328.400/328.587/328.780/0.528 ms
14/07/01-12:57:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.380/328.495/328.609/0.632 ms
14/07/01-12:59:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.348/328.521/328.720/0.737 ms
14/07/01-13:01:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 337.320/337.575/337.751/0.749 ms
14/07/01-13:03:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 337.506/337.675/337.972/0.157 ms
14/07/01-13:04:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 337.411/337.644/337.938/0.667 ms
14/07/01-13:06:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.556/337.651/337.813/0.379 ms
14/07/01-13:08:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.559/337.607/337.655/0.735 ms
14/07/01-13:09:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.604/337.663/337.787/0.373 ms
14/07/01-13:11:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 328.336/328.566/328.818/0.170 ms
14/07/01-13:13:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 328.495/328.573/328.699/0.089 ms
14/07/01-13:14:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 337.462/337.610/337.739/0.530 ms
14/07/01-13:16:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 337.445/337.580/337.784/0.538 ms
14/07/01-13:18:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 337.348/337.505/337.673/0.107 ms
14/07/01-13:19:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 328.388/328.561/328.768/0.382 ms
14/07/01-13:21:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 337.528/337.607/337.774/0.526 ms
14/07/01-13:23:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 337.550/337.639/337.759/0.738 ms
14/07/01-13:24:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 337.595/337.704/337.840/0.377 ms
14/07/01-13:26:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 337.680/337.764/337.878/0.738 ms
14/07/01-13:27:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 337.474/337.641/337.765/0.112 ms
14/07/01-13:29:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 337.523/337.668/337.800/0.740 ms
14/07/01-13:31:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 337.514/337.552/337.582/0.636 ms
14/07/01-13:32:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 337.649/337.845/338.058/0.154 ms
14/07/01-13:34:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 337.629/337.727/337.801/0.639 ms
14/07/01-13:36:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 337.591/337.745/337.875/0.380 ms
14/07/01-13:37:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 337.643/337.695/337.795/0.522 ms
14/07/01-13:39:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 337.381/337.670/337.814/0.542 ms
14/07/01-13:41:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.550/337.621/337.793/0.527 ms
14/07/01-13:42:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.462/337.688/337.948/0.543 ms
14/07/01-13:44:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 337.439/337.603/337.759/0.385 ms
14/07/01-13:46:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 337.567/337.757/337.890/0.393 ms
