14/07/01-10:06:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.314/380.431/380.512/0.782 ms
14/07/01-10:08:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.457/380.493/380.524/0.390 ms
14/07/01-10:10:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 380.356/380.434/380.470/0.392 ms
14/07/01-10:11:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.382/380.438/380.508/0.781 ms
14/07/01-10:13:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 380.417/380.455/380.503/0.552 ms
14/07/01-10:15:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.357/380.431/380.502/0.678 ms
14/07/01-10:16:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.370/380.421/380.498/0.677 ms
14/07/01-10:18:37 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.391/380.472/380.533/0.781 ms
14/07/01-10:20:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 380.427/380.471/380.497/0.552 ms
14/07/01-10:21:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 380.406/380.496/380.733/0.120 ms
14/07/01-10:23:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.474/380.515/380.570/0.035 ms
14/07/01-10:25:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 380.329/380.382/380.474/0.678 ms
14/07/01-10:26:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.310/380.420/380.530/0.784 ms
14/07/01-10:28:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 380.403/380.466/380.553/0.553 ms
14/07/01-10:30:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.245/380.363/380.510/0.785 ms
14/07/01-10:31:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 380.324/380.527/380.938/0.444 ms
14/07/01-10:33:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.457/380.476/380.508/0.780 ms
14/07/01-10:35:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 380.339/380.421/380.490/0.781 ms
14/07/01-10:36:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 380.469/380.543/380.597/0.677 ms
14/07/01-10:38:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.395/380.457/380.533/0.553 ms
14/07/01-10:40:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 380.330/380.511/380.817/0.579 ms
14/07/01-10:41:50 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.266/381.261/382.642/1.145 ms
14/07/01-10:43:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.321/380.481/380.620/0.101 ms
14/07/01-10:45:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 380.393/380.453/380.521/0.046 ms
14/07/01-10:46:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.423/380.478/380.524/0.676 ms
14/07/01-10:48:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.295/380.464/380.611/0.403 ms
14/07/01-10:50:07 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.453/380.588/380.983/0.199 ms
14/07/01-10:51:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.279/381.085/383.514/1.393 ms
14/07/01-10:53:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.477/380.514/380.609/0.781 ms
14/07/01-10:55:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 380.395/380.429/380.468/0.031 ms
14/07/01-10:56:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 380.409/380.544/380.811/0.147 ms
14/07/01-10:58:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.359/380.604/381.193/0.300 ms
14/07/01-11:00:05 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.288/380.407/380.475/0.395 ms
14/07/01-11:01:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 380.364/380.440/380.580/0.556 ms
14/07/01-11:03:24 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.441/380.446/380.464/0.780 ms
14/07/01-11:05:04 - 5 packets transmitted, 4 received, 20% packet loss, time 4001ms rtt min/avg/max/mdev = 473.654/478.573/480.834/2.919 ms
14/07/01-11:06:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.377/380.439/380.476/0.391 ms
14/07/01-11:08:23 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.409/380.444/380.527/0.392 ms
14/07/01-11:10:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.410/380.519/380.632/0.785 ms
14/07/01-11:11:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 380.373/380.456/380.544/0.678 ms
14/07/01-11:13:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.316/380.472/380.554/0.681 ms
14/07/01-11:15:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 380.445/380.481/380.573/0.781 ms
14/07/01-11:16:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.452/380.655/381.400/0.864 ms
14/07/01-11:18:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.395/380.500/380.697/0.108 ms
14/07/01-11:20:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.301/380.436/380.550/0.096 ms
14/07/01-11:21:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.298/380.417/380.556/0.681 ms
14/07/01-11:23:19 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.347/380.417/380.491/0.047 ms
14/07/01-11:24:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.416/380.500/380.695/0.102 ms
14/07/01-11:26:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 380.331/380.402/380.515/0.066 ms
14/07/01-11:28:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.361/380.507/380.757/0.412 ms
14/07/01-11:29:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 380.419/380.456/380.483/0.552 ms
14/07/01-11:31:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 380.325/380.433/380.561/0.785 ms
14/07/01-11:33:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.302/380.412/380.522/0.783 ms
14/07/01-11:34:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 380.360/380.432/380.535/0.554 ms
14/07/01-11:36:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.421/380.597/381.177/0.488 ms
14/07/01-11:38:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 380.298/380.373/380.515/0.398 ms
14/07/01-11:39:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.380/380.480/380.591/0.556 ms
14/07/01-11:41:38 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 380.396/380.477/380.557/0.677 ms
14/07/01-11:43:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.375/380.450/380.520/0.781 ms
14/07/01-11:44:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 380.350/380.512/380.769/0.142 ms
14/07/01-11:46:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.392/380.513/380.669/0.406 ms
14/07/01-11:48:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 380.346/380.424/380.470/0.553 ms
14/07/01-11:49:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 380.361/380.418/380.526/0.782 ms
14/07/01-11:51:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 380.308/380.436/380.537/0.681 ms
14/07/01-11:53:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.404/380.470/380.544/0.678 ms
14/07/01-11:54:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 380.320/380.423/380.555/0.560 ms
14/07/01-11:56:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 380.444/380.480/380.588/0.554 ms
14/07/01-11:58:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.391/380.543/380.803/0.147 ms
14/07/01-12:00:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 380.323/380.456/380.668/0.409 ms
14/07/01-12:01:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 380.381/380.442/380.500/0.392 ms
14/07/01-12:03:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 380.378/380.493/380.576/0.068 ms
14/07/01-12:05:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 380.389/380.576/380.658/0.560 ms
14/07/01-12:07:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 380.432/380.492/380.562/0.677 ms
14/07/01-12:09:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 380.386/380.460/380.530/0.048 ms
