14/07/01-10:06:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.764/85.846/85.903/0.191 ms
14/07/01-10:07:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.752/85.814/85.889/0.265 ms
14/07/01-10:09:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 85.789/85.853/85.910/0.372 ms
14/07/01-10:11:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.776/85.832/85.882/0.045 ms
14/07/01-10:13:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.783/85.852/85.920/0.374 ms
14/07/01-10:14:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.828/85.851/85.883/0.371 ms
14/07/01-10:16:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.776/85.827/85.887/0.190 ms
14/07/01-10:18:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.793/85.801/85.811/0.185 ms
14/07/01-10:19:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 85.780/85.836/85.917/0.325 ms
14/07/01-10:21:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 85.695/85.764/85.858/0.325 ms
14/07/01-10:22:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.731/85.997/86.879/0.442 ms
14/07/01-10:24:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.804/85.838/85.866/0.022 ms
14/07/01-10:26:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.703/85.802/85.913/0.200 ms
14/07/01-10:27:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.834/85.867/85.886/0.262 ms
14/07/01-10:29:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.744/85.791/85.873/0.324 ms
14/07/01-10:31:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.736/85.853/85.904/0.195 ms
14/07/01-10:32:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 85.746/85.784/85.820/0.321 ms
14/07/01-10:34:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.802/85.861/85.901/0.323 ms
14/07/01-10:36:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.787/85.863/85.980/0.376 ms
14/07/01-10:37:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.762/85.870/85.968/0.328 ms
14/07/01-10:39:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.783/85.828/85.856/0.187 ms
14/07/01-10:41:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 85.751/85.806/85.878/0.324 ms
14/07/01-10:42:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.743/85.832/85.888/0.192 ms
14/07/01-10:44:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 85.789/85.856/85.887/0.189 ms
14/07/01-10:46:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.805/85.864/85.915/0.265 ms
14/07/01-10:47:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.791/85.830/85.865/0.186 ms
14/07/01-10:49:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.755/85.843/85.885/0.324 ms
14/07/01-10:51:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.750/85.828/85.865/0.265 ms
14/07/01-10:52:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.720/85.823/85.855/0.192 ms
14/07/01-10:54:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.725/85.801/85.844/0.266 ms
14/07/01-10:56:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.720/85.786/85.832/0.265 ms
14/07/01-10:57:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 87.044/87.114/87.180/0.376 ms
14/07/01-10:59:28 - 5 packets transmitted, 4 received, 20% packet loss, time 4012ms rtt min/avg/max/mdev = 86.991/87.108/87.176/0.069 ms
14/07/01-11:01:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.842/85.866/85.883/0.370 ms
14/07/01-11:02:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.679/85.813/85.880/0.199 ms
14/07/01-11:04:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.728/85.815/85.857/0.190 ms
14/07/01-11:06:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.777/85.833/85.901/0.266 ms
14/07/01-11:07:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.759/85.838/85.904/0.324 ms
14/07/01-11:09:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 87.054/87.114/87.144/0.189 ms
14/07/01-11:11:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.818/85.855/85.880/0.321 ms
14/07/01-11:12:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.770/86.346/87.165/0.653 ms
14/07/01-11:14:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.780/85.848/85.934/0.325 ms
14/07/01-11:16:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 87.085/87.104/87.133/0.373 ms
14/07/01-11:17:44 - 5 packets transmitted, 4 received, 20% packet loss, time 4003ms rtt min/avg/max/mdev = 87.020/87.056/87.099/0.210 ms
14/07/01-11:19:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.806/85.848/85.868/0.186 ms
14/07/01-11:21:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.756/85.828/85.889/0.192 ms
14/07/01-11:22:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.665/85.811/85.902/0.274 ms
14/07/01-11:24:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.778/85.839/85.882/0.372 ms
14/07/01-11:26:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.760/85.819/85.857/0.322 ms
14/07/01-11:27:41 - 5 packets transmitted, 4 received, 20% packet loss, time 4004ms rtt min/avg/max/mdev = 97.285/98.198/100.861/1.584 ms
14/07/01-11:29:22 - 5 packets transmitted, 4 received, 20% packet loss, time 4005ms rtt min/avg/max/mdev = 97.284/97.309/97.351/0.382 ms
14/07/01-11:31:02 - 5 packets transmitted, 4 received, 20% packet loss, time 4011ms rtt min/avg/max/mdev = 97.238/97.349/97.423/0.389 ms
14/07/01-11:32:42 - 5 packets transmitted, 4 received, 20% packet loss, time 4011ms rtt min/avg/max/mdev = 96.075/97.023/97.369/0.630 ms
14/07/01-11:34:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 95.988/96.049/96.128/0.051 ms
14/07/01-11:36:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 97.297/97.359/97.391/0.032 ms
14/07/01-11:37:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 97.329/97.370/97.400/0.395 ms
14/07/01-11:39:21 - 5 packets transmitted, 4 received, 20% packet loss, time 4003ms rtt min/avg/max/mdev = 97.238/97.306/97.391/0.229 ms
14/07/01-11:41:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 96.053/96.103/96.132/0.393 ms
14/07/01-11:42:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 96.019/96.086/96.186/0.059 ms
14/07/01-11:44:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.769/85.817/85.870/0.188 ms
14/07/01-11:45:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.806/85.846/85.914/0.039 ms
14/07/01-11:47:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.759/85.859/85.919/0.325 ms
14/07/01-11:49:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 85.759/85.816/85.894/0.326 ms
14/07/01-11:50:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.771/85.817/85.880/0.188 ms
14/07/01-11:52:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.725/85.783/85.882/0.374 ms
14/07/01-11:54:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 85.800/85.862/85.901/0.037 ms
14/07/01-11:55:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.713/86.342/88.522/1.093 ms
14/07/01-11:57:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 85.775/85.821/85.858/0.371 ms
14/07/01-11:59:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 85.741/85.809/85.847/0.189 ms
14/07/01-12:01:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.701/85.785/85.878/0.195 ms
14/07/01-12:02:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.736/85.807/85.913/0.268 ms
14/07/01-12:04:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.826/85.873/85.892/0.186 ms
14/07/01-12:06:33 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 85.823/85.874/85.894/0.322 ms
14/07/01-12:08:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.740/85.779/85.823/0.188 ms
14/07/01-12:10:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.778/85.869/85.974/0.075 ms
14/07/01-12:12:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.756/85.856/85.920/0.325 ms
14/07/01-12:13:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.771/85.857/85.922/0.325 ms
14/07/01-12:15:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 85.747/85.839/85.913/0.325 ms
14/07/01-12:17:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.759/85.828/85.885/0.190 ms
14/07/01-12:19:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 85.738/85.804/85.882/0.060 ms
