14/07/01-10:06:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 90.674/90.828/90.974/0.345 ms
14/07/01-10:07:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.716/90.838/90.922/0.076 ms
14/07/01-10:09:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.892/90.957/91.100/0.205 ms
14/07/01-10:11:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.791/90.891/90.981/0.386 ms
14/07/01-10:12:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 90.724/90.841/90.912/0.064 ms
14/07/01-10:14:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 90.769/90.907/90.990/0.389 ms
14/07/01-10:16:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 90.826/90.868/90.925/0.271 ms
14/07/01-10:17:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 90.891/91.137/91.684/0.476 ms
14/07/01-10:19:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.630/90.762/90.835/0.077 ms
14/07/01-10:21:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 90.839/90.915/90.984/0.046 ms
14/07/01-10:22:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 90.751/90.848/90.952/0.203 ms
14/07/01-10:24:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 90.726/90.875/90.951/0.207 ms
14/07/01-10:26:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 90.901/91.020/91.350/0.369 ms
14/07/01-10:27:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 90.710/90.876/90.978/0.210 ms
14/07/01-10:29:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.748/90.848/90.922/0.385 ms
14/07/01-10:31:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 90.737/90.883/90.972/0.079 ms
14/07/01-10:32:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.759/90.878/90.927/0.276 ms
14/07/01-10:34:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 90.870/90.923/90.996/0.335 ms
14/07/01-10:36:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 90.828/90.905/91.035/0.069 ms
14/07/01-10:37:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 90.845/90.912/90.974/0.046 ms
14/07/01-10:39:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 90.826/90.890/90.928/0.272 ms
