14/07/01-10:07:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.504/194.634/195.051/0.447 ms
14/07/01-10:09:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.585/194.732/194.971/0.419 ms
14/07/01-10:10:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.642/194.875/195.482/0.309 ms
14/07/01-10:12:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.549/194.724/195.010/0.427 ms
14/07/01-10:14:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.684/194.799/194.988/0.408 ms
14/07/01-10:15:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.470/194.760/194.979/0.589 ms
14/07/01-10:17:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.499/194.755/194.957/0.322 ms
14/07/01-10:18:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.560/194.709/194.982/0.504 ms
14/07/01-10:20:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 194.625/194.756/194.898/0.568 ms
14/07/01-10:22:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.607/194.846/195.015/0.324 ms
14/07/01-10:23:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.684/194.835/195.146/0.426 ms
14/07/01-10:25:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.558/194.858/195.157/0.207 ms
14/07/01-10:27:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.741/195.075/195.482/0.296 ms
14/07/01-10:28:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.605/194.781/195.160/0.199 ms
14/07/01-10:30:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.684/194.768/194.826/0.486 ms
14/07/01-10:32:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.684/194.970/195.330/0.359 ms
14/07/01-10:33:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.655/194.818/194.938/0.297 ms
14/07/01-10:35:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.911/195.060/195.378/0.582 ms
14/07/01-10:37:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.673/194.944/195.226/0.590 ms
14/07/01-10:38:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.709/194.922/195.200/0.333 ms
14/07/01-10:40:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.586/194.798/195.222/0.605 ms
14/07/01-10:42:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.554/194.736/194.956/0.576 ms
14/07/01-10:43:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.579/194.856/195.302/0.253 ms
14/07/01-10:45:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.573/194.876/195.142/0.229 ms
14/07/01-10:47:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.629/194.827/195.160/0.177 ms
14/07/01-10:48:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.475/194.688/195.160/0.463 ms
14/07/01-10:50:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.671/194.784/195.022/0.128 ms
14/07/01-10:52:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.561/194.766/195.124/0.215 ms
14/07/01-10:53:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.716/195.048/195.478/0.401 ms
14/07/01-10:55:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.514/194.674/194.764/0.491 ms
14/07/01-10:57:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.578/194.718/194.904/0.501 ms
14/07/01-10:58:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.548/194.727/195.144/0.356 ms
14/07/01-11:00:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.824/195.018/195.228/0.415 ms
14/07/01-11:02:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.546/194.747/194.951/0.310 ms
14/07/01-11:03:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.615/194.787/195.082/0.182 ms
14/07/01-11:05:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.800/194.884/194.983/0.562 ms
14/07/01-11:07:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.504/194.949/195.331/0.624 ms
14/07/01-11:08:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.700/194.874/195.198/0.438 ms
14/07/01-11:10:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.477/194.741/195.112/0.446 ms
14/07/01-11:12:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.670/194.914/195.217/0.449 ms
14/07/01-11:13:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.705/194.818/194.935/0.489 ms
14/07/01-11:15:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.569/195.018/195.921/0.682 ms
14/07/01-11:17:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.521/194.788/194.987/0.586 ms
14/07/01-11:18:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.725/194.824/194.959/0.293 ms
14/07/01-11:20:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.631/195.006/195.257/0.453 ms
14/07/01-11:22:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.614/194.842/195.179/0.335 ms
14/07/01-11:23:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.642/194.964/195.293/0.253 ms
14/07/01-11:25:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.637/195.002/195.436/0.283 ms
14/07/01-11:26:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.701/194.994/195.294/0.207 ms
14/07/01-11:28:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 194.588/194.889/195.207/0.200 ms
14/07/01-11:30:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.530/194.857/195.415/0.581 ms
14/07/01-11:32:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.666/194.882/195.138/0.516 ms
14/07/01-11:33:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.719/195.100/195.844/0.687 ms
14/07/01-11:35:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.604/195.030/195.335/0.562 ms
14/07/01-11:36:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.563/194.884/195.078/0.589 ms
14/07/01-11:38:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.663/195.129/195.778/0.553 ms
14/07/01-11:40:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.616/194.825/195.221/0.448 ms
14/07/01-11:41:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.791/195.113/195.252/0.326 ms
14/07/01-11:43:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.641/194.800/194.964/0.414 ms
14/07/01-11:45:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.620/194.938/195.468/0.572 ms
14/07/01-11:46:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.867/195.081/195.234/0.132 ms
14/07/01-11:48:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 194.608/194.819/195.096/0.322 ms
14/07/01-11:50:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.676/194.943/195.205/0.586 ms
14/07/01-11:51:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.639/194.989/195.215/0.348 ms
14/07/01-11:53:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.701/194.934/195.071/0.307 ms
14/07/01-11:55:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.804/195.182/195.611/0.307 ms
14/07/01-11:56:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.818/194.989/195.192/0.122 ms
14/07/01-11:58:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 194.677/194.994/195.330/0.227 ms
14/07/01-12:00:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.546/195.154/195.739/0.552 ms
14/07/01-12:02:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.712/195.039/195.434/0.624 ms
14/07/01-12:04:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.602/194.850/195.127/0.593 ms
14/07/01-12:05:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.659/195.011/195.640/0.373 ms
14/07/01-12:07:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.782/195.089/195.452/0.392 ms
14/07/01-12:09:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.783/195.133/195.648/0.640 ms
14/07/01-12:11:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.653/195.087/195.522/0.529 ms
14/07/01-12:13:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.531/195.014/195.414/0.501 ms
14/07/01-12:14:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.655/195.020/195.409/0.608 ms
14/07/01-12:16:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.708/194.911/195.141/0.437 ms
14/07/01-12:18:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.771/195.368/197.018/0.923 ms
14/07/01-12:20:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.690/195.090/195.674/0.510 ms
14/07/01-12:22:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.783/195.108/195.661/0.635 ms
14/07/01-12:23:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.903/195.140/195.327/0.503 ms
14/07/01-12:25:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 195.048/195.165/195.357/0.304 ms
14/07/01-12:27:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.584/194.923/195.114/0.518 ms
14/07/01-12:29:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.629/194.912/195.121/0.170 ms
14/07/01-12:31:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.910/195.315/195.621/0.550 ms
14/07/01-12:33:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.709/195.126/195.962/0.709 ms
14/07/01-12:34:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 195.030/195.274/195.599/0.463 ms
14/07/01-12:36:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 195.043/195.640/196.306/0.669 ms
14/07/01-12:38:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.764/195.014/195.288/0.597 ms
14/07/01-12:40:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.672/195.051/195.672/0.680 ms
14/07/01-12:42:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 195.022/195.235/195.490/0.510 ms
14/07/01-12:44:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.668/194.925/195.132/0.518 ms
14/07/01-12:45:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.775/194.959/195.182/0.417 ms
14/07/01-12:47:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.789/195.090/195.814/0.616 ms
14/07/01-12:49:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.715/195.068/195.275/0.592 ms
14/07/01-12:51:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 195.167/195.227/195.339/0.487 ms
14/07/01-12:53:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.580/195.231/195.911/0.527 ms
14/07/01-12:54:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.900/195.433/195.928/0.432 ms
14/07/01-12:56:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.891/195.171/195.659/0.286 ms
14/07/01-12:58:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 194.719/195.171/195.501/0.576 ms
14/07/01-13:00:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.945/195.201/195.969/0.477 ms
14/07/01-13:02:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.773/195.089/195.657/0.571 ms
14/07/01-13:03:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.875/195.219/195.534/0.395 ms
14/07/01-13:05:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.973/195.379/196.230/0.443 ms
14/07/01-13:07:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 195.206/195.316/195.599/0.143 ms
14/07/01-13:08:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.928/195.319/196.308/0.698 ms
14/07/01-13:10:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.894/195.170/195.354/0.326 ms
14/07/01-13:12:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.781/195.186/195.638/0.638 ms
14/07/01-13:13:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.791/195.455/197.266/1.034 ms
14/07/01-13:15:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.687/195.074/195.383/0.470 ms
14/07/01-13:17:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.746/195.083/195.819/0.686 ms
14/07/01-13:18:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 194.679/195.078/195.675/0.722 ms
14/07/01-13:20:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 194.934/195.437/196.097/0.639 ms
14/07/01-13:21:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.793/194.928/195.065/0.408 ms
14/07/01-13:23:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.814/195.003/195.372/0.195 ms
14/07/01-13:25:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.864/195.384/196.645/0.715 ms
14/07/01-13:26:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.990/195.246/195.769/0.496 ms
14/07/01-13:28:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.979/195.128/195.266/0.406 ms
14/07/01-13:30:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 195.085/195.363/195.783/0.236 ms
14/07/01-13:31:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.853/195.153/195.341/0.322 ms
14/07/01-13:33:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.746/195.538/196.420/0.820 ms
14/07/01-13:35:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.768/195.116/195.500/0.563 ms
14/07/01-13:36:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.958/195.262/195.589/0.542 ms
14/07/01-13:38:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.699/195.143/195.439/0.563 ms
14/07/01-13:40:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 195.146/195.371/195.816/0.544 ms
14/07/01-13:41:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.844/195.354/196.493/0.826 ms
14/07/01-13:43:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.758/195.363/195.813/0.537 ms
14/07/01-13:45:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.752/195.000/195.315/0.183 ms
14/07/01-13:46:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.697/195.135/195.687/0.518 ms
14/07/01-13:48:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.874/194.956/195.050/0.562 ms
14/07/01-13:50:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 194.728/195.169/195.427/0.609 ms
14/07/01-13:51:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.947/195.304/195.457/0.588 ms
14/07/01-13:53:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 195.026/195.279/195.500/0.324 ms
14/07/01-13:55:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 195.184/195.315/195.471/0.115 ms
14/07/01-13:56:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.871/195.168/195.948/0.395 ms
14/07/01-13:58:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 195.163/195.211/195.303/0.486 ms
14/07/01-14:00:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.857/195.184/195.555/0.460 ms
14/07/01-14:01:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 194.818/195.197/195.485/0.363 ms
14/07/01-14:03:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 195.114/195.328/195.701/0.442 ms
14/07/01-14:05:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 194.800/195.180/195.438/0.450 ms
14/07/01-14:06:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 194.765/195.104/195.550/0.592 ms
14/07/01-14:08:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 194.940/195.324/195.779/0.624 ms
