14/07/01-10:06:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.604/67.695/67.794/0.178 ms
14/07/01-10:07:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.671/67.742/67.824/0.333 ms
14/07/01-10:09:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.639/67.706/67.798/0.333 ms
14/07/01-10:11:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.620/67.690/67.750/0.048 ms
14/07/01-10:13:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.668/67.710/67.731/0.285 ms
14/07/01-10:14:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.607/67.752/68.018/0.143 ms
14/07/01-10:16:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 67.570/67.678/67.759/0.291 ms
14/07/01-10:18:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.537/67.609/67.669/0.289 ms
14/07/01-10:19:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.618/67.688/67.830/0.294 ms
14/07/01-10:21:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.660/67.688/67.734/0.166 ms
14/07/01-10:23:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.555/67.633/67.709/0.333 ms
14/07/01-10:24:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.583/67.665/67.795/0.071 ms
14/07/01-10:26:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.627/67.697/67.737/0.331 ms
14/07/01-10:28:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.709/67.758/67.794/0.331 ms
14/07/01-10:29:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 67.485/67.614/67.693/0.181 ms
14/07/01-10:31:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.608/67.699/67.785/0.066 ms
14/07/01-10:33:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 67.540/67.691/68.067/0.190 ms
14/07/01-10:34:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.630/67.701/67.729/0.235 ms
14/07/01-10:36:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 67.569/67.679/67.786/0.337 ms
14/07/01-10:37:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.572/67.660/67.738/0.240 ms
14/07/01-10:39:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.701/67.717/67.729/0.329 ms
14/07/01-10:41:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.765/67.786/67.800/0.165 ms
14/07/01-10:42:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.589/67.667/67.726/0.172 ms
14/07/01-10:44:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.672/67.734/67.803/0.047 ms
14/07/01-10:46:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.652/67.764/68.003/0.132 ms
14/07/01-10:47:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 67.645/67.705/67.778/0.170 ms
14/07/01-10:49:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.636/67.736/67.802/0.061 ms
14/07/01-10:51:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.621/67.656/67.689/0.234 ms
14/07/01-10:52:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.572/67.704/67.767/0.336 ms
14/07/01-10:54:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.566/67.668/67.710/0.172 ms
14/07/01-10:56:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.708/67.748/67.800/0.167 ms
14/07/01-10:57:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.551/67.672/67.715/0.334 ms
14/07/01-10:59:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 67.583/67.640/67.695/0.235 ms
14/07/01-11:01:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.577/67.664/67.787/0.295 ms
14/07/01-11:02:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.656/67.694/67.773/0.169 ms
14/07/01-11:04:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 67.628/67.723/67.774/0.171 ms
14/07/01-11:06:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.628/67.709/67.750/0.332 ms
14/07/01-11:07:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.685/67.722/67.755/0.234 ms
14/07/01-11:09:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.667/67.720/67.819/0.238 ms
14/07/01-11:11:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.608/67.686/67.728/0.170 ms
14/07/01-11:12:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.522/67.694/67.785/0.187 ms
14/07/01-11:14:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.665/67.747/67.824/0.053 ms
14/07/01-11:16:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 67.663/67.685/67.729/0.024 ms
14/07/01-11:17:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.585/67.634/67.704/0.288 ms
14/07/01-11:19:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 67.677/67.693/67.703/0.285 ms
14/07/01-11:21:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 67.554/67.663/67.784/0.082 ms
14/07/01-11:22:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 67.512/67.732/68.226/0.345 ms
14/07/01-11:24:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.668/67.721/67.825/0.239 ms
14/07/01-11:26:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.650/67.693/67.782/0.333 ms
14/07/01-11:27:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 67.560/67.649/67.774/0.186 ms
14/07/01-11:29:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 67.622/67.968/69.129/0.668 ms
