14/07/01-10:06:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.379/396.862/397.371/0.322 ms
14/07/01-10:08:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.769/397.015/397.596/0.315 ms
14/07/01-10:10:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.319/396.582/396.814/0.595 ms
14/07/01-10:11:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.214/396.428/396.812/0.449 ms
14/07/01-10:13:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 396.880/397.758/400.513/1.382 ms
14/07/01-10:15:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 396.468/396.687/396.961/0.588 ms
14/07/01-10:16:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.787/396.980/397.267/0.592 ms
14/07/01-10:18:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 396.674/397.016/397.271/0.446 ms
14/07/01-10:20:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 396.326/396.466/396.799/0.710 ms
14/07/01-10:21:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.252/396.727/397.047/0.627 ms
14/07/01-10:23:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.333/396.535/397.056/0.625 ms
14/07/01-10:25:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.598/396.697/396.766/0.402 ms
14/07/01-10:26:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 396.628/396.992/397.442/0.633 ms
14/07/01-10:28:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.386/396.653/396.932/0.589 ms
14/07/01-10:30:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.289/396.719/397.180/0.758 ms
14/07/01-10:31:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 396.196/396.596/396.769/0.447 ms
14/07/01-10:33:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 396.323/396.701/397.046/0.635 ms
