14/07/01-10:07:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.237/316.457/316.845/0.740 ms
14/07/01-10:08:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.360/316.429/316.540/0.061 ms
14/07/01-10:10:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.288/316.351/316.479/0.619 ms
14/07/01-10:12:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.380/317.891/320.133/1.679 ms
14/07/01-10:13:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.967/317.957/320.435/1.274 ms
14/07/01-10:15:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 316.388/316.558/316.729/0.376 ms
14/07/01-10:17:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.355/316.516/316.715/0.627 ms
14/07/01-10:18:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.333/316.445/316.592/0.510 ms
14/07/01-10:20:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.374/316.396/316.422/0.711 ms
14/07/01-10:22:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.350/316.641/317.022/0.252 ms
14/07/01-10:23:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.371/316.429/316.483/0.617 ms
14/07/01-10:25:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.364/316.422/316.504/0.713 ms
14/07/01-10:27:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.395/316.432/316.471/0.356 ms
14/07/01-10:28:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 316.368/316.751/318.023/0.887 ms
14/07/01-10:30:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.295/316.381/316.458/0.506 ms
14/07/01-10:32:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.340/316.699/317.389/0.533 ms
14/07/01-10:33:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 316.373/316.422/316.499/0.617 ms
14/07/01-10:35:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.397/316.500/316.693/0.109 ms
14/07/01-10:37:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.304/316.377/316.438/0.712 ms
14/07/01-10:38:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.265/316.359/316.482/0.507 ms
14/07/01-10:40:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.363/316.446/316.568/0.715 ms
14/07/01-10:42:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.282/316.371/316.455/0.714 ms
