14/07/01-10:06:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 115.989/116.006/116.025/0.373 ms
14/07/01-10:08:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 115.972/116.083/116.161/0.378 ms
14/07/01-10:09:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 115.907/116.006/116.102/0.224 ms
14/07/01-10:11:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 115.966/116.013/116.070/0.037 ms
14/07/01-10:13:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 115.962/116.058/116.115/0.060 ms
14/07/01-10:14:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 115.958/116.020/116.065/0.307 ms
14/07/01-10:16:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 115.998/116.059/116.087/0.217 ms
14/07/01-10:18:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 115.866/115.933/115.991/0.375 ms
14/07/01-10:19:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 115.909/115.988/116.064/0.377 ms
14/07/01-10:21:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 116.005/116.048/116.071/0.305 ms
14/07/01-10:23:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 115.900/115.991/116.118/0.226 ms
14/07/01-10:24:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 116.034/116.052/116.086/0.305 ms
14/07/01-10:26:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 115.880/115.950/116.045/0.224 ms
14/07/01-10:28:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 115.958/116.096/116.392/0.265 ms
14/07/01-10:29:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 115.955/116.053/116.136/0.223 ms
14/07/01-10:31:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 116.019/116.032/116.055/0.304 ms
14/07/01-10:33:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 115.929/116.067/116.254/0.443 ms
