14/07/01-10:07:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 192.220/192.509/193.274/0.478 ms
14/07/01-10:09:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 192.152/192.281/192.505/0.567 ms
14/07/01-10:10:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 192.261/192.521/193.296/0.552 ms
14/07/01-10:12:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 192.289/192.363/192.485/0.286 ms
14/07/01-10:14:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 192.258/192.377/192.488/0.292 ms
14/07/01-10:15:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 192.247/192.309/192.362/0.394 ms
14/07/01-10:17:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 192.250/192.325/192.408/0.396 ms
14/07/01-10:19:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 192.321/192.368/192.452/0.482 ms
14/07/01-10:20:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 192.296/192.429/192.593/0.565 ms
14/07/01-10:22:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 192.277/192.326/192.355/0.393 ms
14/07/01-10:24:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 192.385/192.444/192.494/0.394 ms
14/07/01-10:25:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 192.270/192.374/192.441/0.396 ms
14/07/01-10:27:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 192.240/192.329/192.387/0.557 ms
14/07/01-10:29:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 192.328/192.433/192.579/0.563 ms
14/07/01-10:30:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 192.221/192.318/192.370/0.396 ms
14/07/01-10:32:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 192.278/192.364/192.421/0.281 ms
14/07/01-10:34:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 192.293/192.398/192.493/0.075 ms
14/07/01-10:35:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 192.276/192.355/192.475/0.285 ms
