14/07/01-10:07:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 208.066/208.171/208.273/0.582 ms
14/07/01-10:09:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 208.134/208.232/208.315/0.581 ms
14/07/01-10:10:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 208.168/208.230/208.264/0.409 ms
14/07/01-10:12:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 208.216/208.259/208.306/0.290 ms
14/07/01-10:14:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 208.180/208.209/208.260/0.500 ms
14/07/01-10:15:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 208.150/208.207/208.277/0.579 ms
14/07/01-10:17:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 208.158/208.217/208.260/0.410 ms
14/07/01-10:19:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 208.168/208.220/208.293/0.502 ms
14/07/01-10:20:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 208.124/208.189/208.232/0.501 ms
14/07/01-10:22:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 208.105/208.210/208.257/0.503 ms
14/07/01-10:24:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 208.072/208.208/208.276/0.414 ms
14/07/01-10:25:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 208.114/208.161/208.217/0.501 ms
14/07/01-10:27:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 208.081/208.152/208.181/0.290 ms
