14/07/01-10:07:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 154.953/155.062/155.199/0.362 ms
14/07/01-10:09:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 154.984/155.028/155.095/0.036 ms
14/07/01-10:10:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 154.996/155.273/155.765/0.472 ms
14/07/01-10:12:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 155.001/155.054/155.094/0.354 ms
14/07/01-10:14:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 154.931/155.090/155.184/0.506 ms
14/07/01-10:15:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 154.886/154.991/155.092/0.503 ms
14/07/01-10:17:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 155.008/155.054/155.120/0.252 ms
14/07/01-10:19:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 154.972/155.031/155.069/0.354 ms
14/07/01-10:20:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 154.965/155.030/155.106/0.253 ms
14/07/01-10:22:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 154.983/155.011/155.022/0.352 ms
14/07/01-10:24:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 155.013/155.039/155.058/0.352 ms
14/07/01-10:25:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 155.008/155.098/155.217/0.072 ms
14/07/01-10:27:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 154.936/155.051/155.274/0.371 ms
14/07/01-10:29:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 154.994/155.060/155.120/0.499 ms
14/07/01-10:30:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 154.914/155.034/155.162/0.265 ms
14/07/01-10:32:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 154.942/155.185/155.751/0.575 ms
14/07/01-10:33:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 155.013/155.072/155.118/0.432 ms
14/07/01-10:35:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 154.956/155.036/155.096/0.355 ms
14/07/01-10:37:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 155.039/155.106/155.222/0.502 ms
