14/07/01-10:05:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 101.656/101.724/101.850/0.293 ms
14/07/01-10:07:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.662/101.695/101.723/0.286 ms
14/07/01-10:09:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.558/101.617/101.673/0.351 ms
14/07/01-10:11:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 101.658/101.692/101.720/0.203 ms
14/07/01-10:12:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 101.645/101.707/101.763/0.405 ms
14/07/01-10:14:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 101.704/101.728/101.764/0.021 ms
14/07/01-10:16:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 101.641/101.736/101.793/0.291 ms
14/07/01-10:17:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.600/101.690/101.754/0.059 ms
14/07/01-10:19:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.649/101.697/101.757/0.288 ms
14/07/01-10:21:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.637/101.681/101.739/0.204 ms
14/07/01-10:22:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.564/101.650/101.714/0.352 ms
14/07/01-10:24:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.546/101.678/101.721/0.292 ms
14/07/01-10:26:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.629/101.694/101.743/0.205 ms
14/07/01-10:27:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.641/101.671/101.775/0.406 ms
14/07/01-10:29:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.648/101.685/101.719/0.203 ms
14/07/01-10:31:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.634/101.676/101.737/0.036 ms
14/07/01-10:32:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.566/101.732/101.845/0.413 ms
14/07/01-10:34:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.581/101.634/101.693/0.351 ms
14/07/01-10:35:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.505/101.688/101.815/0.302 ms
14/07/01-10:37:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 101.546/101.723/101.880/0.234 ms
14/07/01-10:39:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.671/101.696/101.718/0.403 ms
14/07/01-10:40:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.610/101.687/101.802/0.409 ms
14/07/01-10:42:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 101.587/101.661/101.726/0.405 ms
14/07/01-10:44:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.548/101.683/101.755/0.213 ms
14/07/01-10:45:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 101.640/101.685/101.727/0.404 ms
14/07/01-10:47:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 101.600/101.678/101.815/0.075 ms
14/07/01-10:49:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.574/101.639/101.701/0.406 ms
14/07/01-10:50:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.622/101.638/101.668/0.015 ms
14/07/01-10:52:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.593/101.653/101.722/0.353 ms
14/07/01-10:54:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.656/101.726/101.780/0.289 ms
14/07/01-10:55:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.624/101.670/101.719/0.287 ms
14/07/01-10:57:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.590/101.642/101.688/0.204 ms
14/07/01-10:59:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.655/101.698/101.728/0.027 ms
14/07/01-11:00:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.565/101.652/101.762/0.214 ms
14/07/01-11:02:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.543/101.618/101.682/0.208 ms
14/07/01-11:04:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.614/101.679/101.719/0.036 ms
14/07/01-11:05:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.689/101.726/101.784/0.032 ms
14/07/01-11:07:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.675/101.703/101.745/0.203 ms
14/07/01-11:09:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.565/101.660/101.698/0.352 ms
14/07/01-11:10:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.637/101.710/101.785/0.406 ms
14/07/01-11:12:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.596/101.658/101.726/0.288 ms
14/07/01-11:14:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.649/101.681/101.742/0.350 ms
14/07/01-11:15:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.639/101.696/101.757/0.287 ms
14/07/01-11:17:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.655/101.688/101.726/0.350 ms
14/07/01-11:19:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 101.602/101.655/101.723/0.206 ms
14/07/01-11:20:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.613/101.669/101.755/0.207 ms
14/07/01-11:22:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.589/101.673/101.736/0.290 ms
14/07/01-11:24:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.670/101.702/101.724/0.349 ms
14/07/01-11:25:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 101.544/101.612/101.647/0.287 ms
14/07/01-11:27:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.619/101.670/101.705/0.404 ms
14/07/01-11:29:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 101.623/101.704/101.753/0.046 ms
14/07/01-11:30:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 101.605/101.673/101.731/0.207 ms
14/07/01-11:32:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.577/101.635/101.693/0.043 ms
14/07/01-11:34:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.616/101.705/101.766/0.289 ms
14/07/01-11:35:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.606/101.672/101.752/0.406 ms
14/07/01-11:37:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 101.646/101.693/101.724/0.404 ms
14/07/01-11:39:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.649/101.697/101.779/0.043 ms
14/07/01-11:40:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 101.596/101.721/101.801/0.215 ms
14/07/01-11:42:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.612/101.657/101.707/0.404 ms
14/07/01-11:44:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.641/101.707/101.774/0.044 ms
14/07/01-11:45:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.600/101.641/101.700/0.287 ms
14/07/01-11:47:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.649/101.686/101.717/0.286 ms
14/07/01-11:49:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.598/101.667/101.710/0.288 ms
14/07/01-11:50:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.629/101.675/101.723/0.351 ms
14/07/01-11:52:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.693/101.726/101.759/0.202 ms
14/07/01-11:54:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.556/101.642/101.767/0.213 ms
14/07/01-11:55:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.608/101.682/101.731/0.352 ms
14/07/01-11:57:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 101.594/101.690/101.759/0.291 ms
14/07/01-11:59:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 101.594/101.655/101.719/0.405 ms
14/07/01-12:00:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.607/101.663/101.736/0.353 ms
14/07/01-12:02:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 101.694/101.718/101.764/0.404 ms
14/07/01-12:04:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.569/101.666/101.698/0.289 ms
14/07/01-12:06:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.560/101.643/101.758/0.214 ms
14/07/01-12:08:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 101.682/101.704/101.727/0.403 ms
14/07/01-12:09:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.634/101.703/101.761/0.289 ms
14/07/01-12:11:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 101.520/101.605/101.678/0.408 ms
14/07/01-12:13:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.635/101.665/101.716/0.350 ms
14/07/01-12:15:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 101.595/101.685/101.769/0.409 ms
14/07/01-12:17:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 101.541/101.667/101.757/0.411 ms
14/07/01-12:18:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.648/101.688/101.726/0.026 ms
14/07/01-12:20:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.587/101.637/101.704/0.040 ms
14/07/01-12:22:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.600/101.696/101.740/0.353 ms
14/07/01-12:24:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 101.602/101.688/101.727/0.045 ms
14/07/01-12:26:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 101.620/101.688/101.715/0.034 ms
14/07/01-12:28:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.605/101.645/101.693/0.033 ms
14/07/01-12:29:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.591/101.681/101.736/0.291 ms
14/07/01-12:31:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.645/101.885/102.613/0.505 ms
14/07/01-12:33:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.625/101.688/101.744/0.041 ms
14/07/01-12:35:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.561/101.638/101.762/0.068 ms
14/07/01-12:37:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.658/101.704/101.761/0.405 ms
14/07/01-12:38:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.523/101.616/101.706/0.210 ms
14/07/01-12:40:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 101.588/101.787/102.393/0.365 ms
14/07/01-12:42:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.604/101.677/101.715/0.205 ms
14/07/01-12:44:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.599/101.669/101.729/0.353 ms
14/07/01-12:46:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.663/101.713/101.738/0.350 ms
14/07/01-12:48:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.636/101.681/101.708/0.203 ms
14/07/01-12:49:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.594/101.649/101.772/0.354 ms
14/07/01-12:51:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.643/101.662/101.693/0.202 ms
14/07/01-12:53:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 101.632/101.699/101.739/0.351 ms
14/07/01-12:55:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 101.583/101.648/101.715/0.207 ms
14/07/01-12:57:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.575/101.635/101.722/0.290 ms
14/07/01-12:59:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.600/101.672/101.731/0.206 ms
14/07/01-13:00:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 101.519/101.593/101.623/0.287 ms
14/07/01-13:02:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.707/101.725/101.737/0.285 ms
14/07/01-13:04:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 101.607/101.691/101.758/0.289 ms
14/07/01-13:05:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.628/101.680/101.736/0.287 ms
14/07/01-13:07:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.674/101.720/101.776/0.287 ms
14/07/01-13:09:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.649/101.683/101.710/0.025 ms
14/07/01-13:10:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.642/101.699/101.750/0.351 ms
14/07/01-13:12:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.694/101.703/101.713/0.007 ms
14/07/01-13:14:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.564/101.654/101.726/0.355 ms
14/07/01-13:15:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.632/101.666/101.707/0.404 ms
14/07/01-13:17:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.672/101.691/101.729/0.349 ms
14/07/01-13:19:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 101.642/101.671/101.703/0.403 ms
14/07/01-13:20:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 101.587/101.687/101.762/0.210 ms
14/07/01-13:22:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.644/101.695/101.744/0.041 ms
14/07/01-13:24:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 101.636/101.675/101.701/0.203 ms
14/07/01-13:25:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.605/101.659/101.755/0.290 ms
14/07/01-13:27:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 101.678/101.713/101.770/0.204 ms
14/07/01-13:29:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.571/101.640/101.720/0.353 ms
14/07/01-13:30:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.627/101.671/101.739/0.038 ms
14/07/01-13:32:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.629/101.669/101.725/0.350 ms
14/07/01-13:34:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.656/101.721/101.787/0.206 ms
14/07/01-13:35:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.675/101.711/101.752/0.404 ms
14/07/01-13:37:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.618/101.676/101.758/0.406 ms
14/07/01-13:38:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.587/101.658/101.760/0.353 ms
14/07/01-13:40:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 101.616/101.656/101.704/0.032 ms
14/07/01-13:42:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 101.691/101.730/101.768/0.286 ms
