14/07/01-10:06:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.129/407.415/407.767/0.735 ms
14/07/01-10:08:25 - 5 packets transmitted, 4 received, 20% packet loss, time 4011ms rtt min/avg/max/mdev = 407.194/407.999/409.458/1.171 ms
14/07/01-10:10:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 407.182/408.015/408.771/0.804 ms
14/07/01-10:11:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 407.139/408.173/408.962/1.002 ms
14/07/01-10:13:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 407.118/408.086/409.601/0.917 ms
14/07/01-10:15:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.111/407.401/408.293/0.729 ms
14/07/01-10:16:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 407.129/408.057/409.222/1.187 ms
14/07/01-10:18:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 407.059/407.804/408.940/0.650 ms
14/07/01-10:20:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 407.164/407.867/409.126/0.669 ms
14/07/01-10:21:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 407.225/408.726/410.038/1.220 ms
14/07/01-10:23:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.122/407.826/408.996/1.136 ms
14/07/01-10:25:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 407.008/407.129/407.195/0.810 ms
14/07/01-10:26:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.095/407.568/408.374/0.490 ms
14/07/01-10:28:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 407.184/407.597/408.270/0.570 ms
14/07/01-10:30:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 407.070/407.306/407.969/0.874 ms
14/07/01-10:31:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 407.567/408.154/408.526/0.539 ms
14/07/01-10:33:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 407.139/407.417/407.790/0.485 ms
