14/07/01-10:07:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 315.936/316.267/317.196/0.473 ms
14/07/01-10:09:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 316.073/316.209/316.338/0.717 ms
14/07/01-10:11:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 315.880/316.264/316.929/0.402 ms
14/07/01-10:12:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 315.787/316.433/317.300/0.809 ms
14/07/01-10:14:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.027/316.170/316.351/0.383 ms
14/07/01-10:16:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 315.950/316.041/316.254/0.719 ms
14/07/01-10:17:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 315.997/316.436/317.393/0.652 ms
14/07/01-10:19:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 315.894/317.120/319.137/1.324 ms
14/07/01-10:20:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 315.898/316.259/316.968/0.717 ms
14/07/01-10:22:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 315.938/316.323/316.953/0.802 ms
14/07/01-10:24:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.192/316.286/316.387/0.507 ms
14/07/01-10:25:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.024/316.675/319.065/1.247 ms
14/07/01-10:27:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 315.919/316.320/317.134/0.826 ms
14/07/01-10:29:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 315.993/316.197/316.329/0.723 ms
14/07/01-10:30:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.108/316.347/316.671/0.742 ms
14/07/01-10:32:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 315.967/316.106/316.238/0.372 ms
14/07/01-10:34:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 316.041/316.184/316.357/0.516 ms
14/07/01-10:35:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 315.942/316.470/317.722/0.636 ms
14/07/01-10:37:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 315.957/316.204/316.478/0.392 ms
14/07/01-10:39:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 315.796/316.261/316.726/0.684 ms
14/07/01-10:40:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 315.932/316.104/316.572/0.238 ms
14/07/01-10:42:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.151/316.235/316.434/0.624 ms
14/07/01-10:44:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.028/316.393/317.625/0.795 ms
14/07/01-10:45:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.353/316.994/318.969/1.234 ms
14/07/01-10:47:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 315.995/316.218/316.664/0.660 ms
14/07/01-10:49:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 315.992/316.637/318.336/1.058 ms
14/07/01-10:50:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.038/316.184/316.302/0.511 ms
14/07/01-10:52:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 316.251/316.525/317.030/0.768 ms
14/07/01-10:54:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.022/316.321/317.359/0.519 ms
14/07/01-10:55:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 316.074/316.313/316.769/0.428 ms
14/07/01-10:57:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 315.958/316.859/318.323/0.848 ms
14/07/01-10:59:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 315.831/316.074/316.363/0.645 ms
14/07/01-11:00:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 315.990/316.194/316.332/0.380 ms
14/07/01-11:02:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 315.726/316.089/316.371/0.545 ms
14/07/01-11:04:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 315.914/316.148/316.250/0.517 ms
14/07/01-11:05:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 315.848/316.180/316.341/0.534 ms
14/07/01-11:07:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 316.070/316.361/316.778/0.427 ms
14/07/01-11:09:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 316.008/316.646/318.940/1.203 ms
14/07/01-11:10:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 315.888/316.032/316.156/0.626 ms
14/07/01-11:12:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 316.069/316.257/316.578/0.642 ms
14/07/01-11:14:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 315.955/316.430/316.774/0.464 ms
14/07/01-11:15:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 315.871/316.282/316.986/0.804 ms
14/07/01-11:17:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 315.911/316.279/316.617/0.235 ms
14/07/01-11:19:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 316.082/316.521/317.161/0.771 ms
