14/07/01-10:08:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.730/355.843/356.040/0.544 ms
14/07/01-10:09:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.863/356.021/356.416/0.203 ms
14/07/01-10:11:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.772/356.186/357.515/0.933 ms
14/07/01-10:12:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.671/355.699/355.737/0.377 ms
14/07/01-10:14:39 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 355.740/355.855/356.078/0.397 ms
14/07/01-10:16:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 355.792/356.056/356.282/0.779 ms
14/07/01-10:17:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 355.752/356.122/357.406/0.645 ms
14/07/01-10:19:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 355.730/355.852/356.068/0.546 ms
14/07/01-10:21:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 355.759/355.905/356.090/0.662 ms
14/07/01-10:22:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 355.689/355.832/355.909/0.385 ms
14/07/01-10:24:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.741/355.825/355.976/0.539 ms
14/07/01-10:26:14 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 355.774/356.136/356.604/0.328 ms
14/07/01-10:27:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 355.909/356.424/357.504/0.733 ms
14/07/01-10:29:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.732/355.940/356.529/0.610 ms
14/07/01-10:31:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 355.667/355.795/355.903/0.539 ms
14/07/01-10:32:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 355.824/355.871/355.908/0.654 ms
14/07/01-10:34:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.851/356.105/356.383/0.174 ms
14/07/01-10:36:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 355.808/355.867/355.971/0.656 ms
14/07/01-10:37:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 355.763/355.856/356.007/0.660 ms
14/07/01-10:39:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 355.825/355.974/356.301/0.674 ms
14/07/01-10:41:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 355.815/356.303/357.593/0.761 ms
14/07/01-10:42:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 355.692/356.095/357.173/0.562 ms
14/07/01-10:44:29 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 355.683/356.339/357.720/0.886 ms
14/07/01-10:46:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 355.651/355.758/355.826/0.059 ms
14/07/01-10:47:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 355.766/356.192/356.843/0.857 ms
14/07/01-10:49:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 355.689/355.942/356.328/0.434 ms
14/07/01-10:51:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 355.815/356.763/360.472/1.966 ms
14/07/01-10:52:46 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 355.737/355.946/356.269/0.562 ms
14/07/01-10:54:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.727/356.033/356.674/0.365 ms
14/07/01-10:56:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 355.789/356.065/356.732/0.636 ms
14/07/01-10:57:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.667/356.009/356.934/0.601 ms
14/07/01-10:59:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 355.689/355.952/356.472/0.466 ms
14/07/01-11:01:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 355.898/356.039/356.466/0.214 ms
14/07/01-11:02:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.745/355.837/355.889/0.048 ms
14/07/01-11:04:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 355.796/355.872/356.029/0.759 ms
14/07/01-11:06:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 355.827/356.484/358.037/1.037 ms
14/07/01-11:07:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 355.824/356.081/356.637/0.609 ms
14/07/01-11:09:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 355.602/355.802/355.896/0.545 ms
14/07/01-11:11:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.736/355.822/355.969/0.758 ms
14/07/01-11:12:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 355.689/355.988/356.549/0.613 ms
14/07/01-11:14:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 355.697/355.796/356.007/0.762 ms
14/07/01-11:16:01 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 355.787/355.825/355.904/0.535 ms
14/07/01-11:17:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.700/355.797/356.045/0.765 ms
