14/07/01-10:07:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.124/68.410/68.840/0.420 ms
14/07/01-10:08:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 68.163/68.276/68.356/0.071 ms
14/07/01-10:10:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.065/68.263/68.383/0.349 ms
14/07/01-10:12:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 68.228/68.381/68.533/0.261 ms
14/07/01-10:13:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.269/68.407/68.793/0.305 ms
14/07/01-10:15:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 68.384/68.521/68.687/0.117 ms
14/07/01-10:17:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.011/68.283/68.542/0.371 ms
14/07/01-10:18:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 68.222/68.503/68.740/0.307 ms
14/07/01-10:20:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 68.203/68.418/68.691/0.254 ms
14/07/01-10:22:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 68.170/68.379/68.855/0.377 ms
14/07/01-10:23:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 68.040/68.285/68.520/0.189 ms
14/07/01-10:25:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 68.158/68.272/68.447/0.304 ms
14/07/01-10:27:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 68.181/68.731/69.963/0.636 ms
14/07/01-10:28:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.256/68.313/68.358/0.288 ms
14/07/01-10:30:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 68.164/68.348/68.564/0.267 ms
14/07/01-10:32:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.261/68.544/68.936/0.431 ms
14/07/01-10:33:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 68.058/68.269/68.510/0.221 ms
14/07/01-10:35:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 68.322/68.534/68.914/0.352 ms
14/07/01-10:37:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 68.202/68.527/68.768/0.309 ms
14/07/01-10:38:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 68.139/68.435/68.671/0.193 ms
14/07/01-10:40:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 68.277/68.453/68.634/0.356 ms
14/07/01-10:42:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.387/68.548/68.914/0.342 ms
14/07/01-10:43:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 68.149/68.274/68.566/0.156 ms
14/07/01-10:45:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.201/68.469/69.090/0.358 ms
14/07/01-10:47:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 68.124/68.434/68.809/0.408 ms
14/07/01-10:48:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 68.144/68.369/68.518/0.141 ms
14/07/01-10:50:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.195/68.453/68.908/0.379 ms
14/07/01-10:52:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.187/68.499/68.728/0.336 ms
14/07/01-10:53:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 69.415/69.506/69.674/0.345 ms
14/07/01-10:55:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 69.501/69.683/69.988/0.332 ms
14/07/01-10:57:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 68.074/68.271/68.538/0.328 ms
14/07/01-10:58:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 68.275/68.608/68.939/0.286 ms
14/07/01-11:00:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 68.375/68.671/69.377/0.499 ms
14/07/01-11:02:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 69.497/69.691/69.875/0.328 ms
14/07/01-11:03:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 69.489/69.618/69.872/0.366 ms
14/07/01-11:05:23 - 5 packets transmitted, 4 received, 20% packet loss, time 4012ms rtt min/avg/max/mdev = 69.582/69.636/69.703/0.327 ms
14/07/01-11:07:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 69.407/69.621/69.928/0.238 ms
14/07/01-11:08:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 69.432/69.623/70.040/0.365 ms
14/07/01-11:10:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 68.348/68.709/69.109/0.417 ms
14/07/01-11:12:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.144/68.318/68.515/0.217 ms
14/07/01-11:13:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 68.195/68.412/68.652/0.321 ms
14/07/01-11:15:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.352/68.413/68.512/0.174 ms
14/07/01-11:16:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 68.172/68.386/68.588/0.364 ms
14/07/01-11:18:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.176/68.392/68.827/0.282 ms
14/07/01-11:20:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 68.259/68.319/68.411/0.051 ms
14/07/01-11:21:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 68.221/68.373/68.643/0.363 ms
14/07/01-11:23:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.025/68.237/68.583/0.343 ms
14/07/01-11:25:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 68.094/68.300/68.486/0.214 ms
14/07/01-11:26:56 - 5 packets transmitted, 4 received, 20% packet loss, time 4012ms rtt min/avg/max/mdev = 69.413/69.570/69.712/0.214 ms
14/07/01-11:28:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 68.291/68.508/68.640/0.312 ms
14/07/01-11:30:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 68.121/68.221/68.284/0.334 ms
14/07/01-11:31:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.214/68.353/68.481/0.091 ms
14/07/01-11:33:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 69.404/69.809/70.497/0.439 ms
14/07/01-11:35:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.258/68.405/68.682/0.220 ms
14/07/01-11:36:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 68.319/68.405/68.565/0.190 ms
14/07/01-11:38:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.288/68.515/68.720/0.224 ms
14/07/01-11:40:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 68.144/68.336/68.570/0.330 ms
