14/07/01-10:07:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 74.918/75.019/75.086/0.181 ms
14/07/01-10:08:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 74.949/75.144/75.670/0.438 ms
14/07/01-10:10:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 74.764/74.920/75.051/0.123 ms
14/07/01-10:12:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 74.824/74.986/75.069/0.263 ms
14/07/01-10:13:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 74.975/75.092/75.178/0.355 ms
14/07/01-10:15:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 74.689/75.079/76.121/0.553 ms
14/07/01-10:17:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 74.864/74.962/75.060/0.309 ms
14/07/01-10:18:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.841/75.036/75.204/0.366 ms
14/07/01-10:20:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 74.911/74.994/75.141/0.256 ms
14/07/01-10:22:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 74.907/75.023/75.212/0.361 ms
14/07/01-10:23:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 74.836/74.949/75.105/0.357 ms
14/07/01-10:25:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 74.893/75.379/76.212/0.601 ms
14/07/01-10:27:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 74.986/75.082/75.183/0.309 ms
14/07/01-10:28:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 74.754/74.955/75.206/0.338 ms
14/07/01-10:30:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 74.799/74.912/75.102/0.322 ms
14/07/01-10:32:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 74.757/75.147/75.939/0.409 ms
14/07/01-10:33:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 74.964/75.209/75.790/0.351 ms
14/07/01-10:35:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 74.790/74.879/74.951/0.063 ms
14/07/01-10:37:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 74.858/74.965/75.207/0.280 ms
14/07/01-10:38:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 74.866/74.929/74.968/0.303 ms
14/07/01-10:40:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.884/74.966/75.159/0.316 ms
14/07/01-10:42:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 74.847/74.938/75.036/0.253 ms
