14/07/01-10:08:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.376/156.571/156.861/0.166 ms
14/07/01-10:10:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 156.268/156.461/156.582/0.512 ms
14/07/01-10:11:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 156.271/156.770/157.927/0.687 ms
14/07/01-10:13:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 156.203/156.432/156.583/0.516 ms
14/07/01-10:15:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 156.252/156.641/157.391/0.641 ms
14/07/01-10:16:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.297/156.509/156.800/0.391 ms
14/07/01-10:18:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 156.437/156.935/158.442/0.798 ms
14/07/01-10:19:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 156.199/156.297/156.430/0.440 ms
14/07/01-10:21:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 156.357/156.558/156.730/0.288 ms
14/07/01-10:23:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 156.242/156.523/156.841/0.208 ms
14/07/01-10:24:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 156.279/156.814/157.778/0.748 ms
14/07/01-10:26:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 156.286/156.538/156.850/0.471 ms
14/07/01-10:28:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 156.264/156.657/157.477/0.654 ms
14/07/01-10:29:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 156.303/156.498/156.764/0.536 ms
14/07/01-10:31:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.337/156.456/156.718/0.144 ms
14/07/01-10:33:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 156.499/156.884/157.301/0.472 ms
14/07/01-10:34:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 156.385/156.563/156.750/0.130 ms
14/07/01-10:36:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 156.292/156.621/157.015/0.388 ms
14/07/01-10:38:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 156.244/156.503/156.929/0.243 ms
14/07/01-10:39:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 156.448/156.699/156.907/0.531 ms
14/07/01-10:41:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 156.603/157.185/158.607/0.840 ms
14/07/01-10:43:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 156.351/156.556/156.876/0.194 ms
14/07/01-10:44:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 156.344/156.889/157.665/0.633 ms
