14/07/01-10:07:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 176.899/177.199/177.669/0.371 ms
14/07/01-10:09:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4297ms rtt min/avg/max/mdev = 176.942/177.204/177.462/0.570 ms
14/07/01-10:10:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 176.885/177.358/178.689/0.869 ms
14/07/01-10:12:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.140/177.782/178.679/0.692 ms
14/07/01-10:14:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 177.284/185.647/193.464/5.468 ms
14/07/01-10:15:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.020/177.217/177.506/0.556 ms
14/07/01-10:17:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 177.163/177.381/177.632/0.422 ms
14/07/01-10:18:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 176.977/177.107/177.473/0.420 ms
14/07/01-10:20:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 176.622/177.343/178.270/0.662 ms
14/07/01-10:22:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.033/177.223/177.438/0.401 ms
14/07/01-10:23:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 176.882/177.050/177.217/0.292 ms
14/07/01-10:25:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 176.858/177.184/177.972/0.667 ms
14/07/01-10:27:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 176.951/177.006/177.049/0.533 ms
14/07/01-10:28:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 176.887/177.186/177.420/0.574 ms
14/07/01-10:30:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.312/178.189/179.678/0.996 ms
14/07/01-10:32:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.053/177.657/178.613/0.650 ms
14/07/01-10:33:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 176.910/177.508/178.748/0.700 ms
14/07/01-10:35:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 176.907/177.460/178.707/0.841 ms
14/07/01-10:37:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.009/177.245/177.387/0.479 ms
14/07/01-10:38:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 177.050/177.384/178.503/0.676 ms
