14/07/01-10:07:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.606/360.077/375.971/8.803 ms
14/07/01-10:09:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 362.867/370.866/376.446/6.498 ms
14/07/01-10:11:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.573/364.486/376.447/10.229 ms
14/07/01-10:12:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 362.842/370.855/376.335/6.465 ms
14/07/01-10:14:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 355.846/364.276/376.159/6.621 ms
14/07/01-10:16:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 353.349/368.948/376.235/9.306 ms
14/07/01-10:17:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.919/365.266/377.822/10.125 ms
14/07/01-10:19:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 362.896/370.874/376.235/6.472 ms
14/07/01-10:21:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 375.799/376.444/377.317/0.646 ms
14/07/01-10:22:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 353.362/364.538/376.024/9.970 ms
14/07/01-10:24:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 353.858/364.171/375.757/6.993 ms
14/07/01-10:26:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.522/356.061/365.065/4.551 ms
14/07/01-10:27:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.454/366.037/375.984/4.974 ms
14/07/01-10:29:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 353.403/360.148/376.314/8.821 ms
14/07/01-10:31:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.473/366.402/376.247/8.689 ms
14/07/01-10:32:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 354.650/362.574/376.339/7.913 ms
14/07/01-10:34:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 353.631/359.449/363.029/4.372 ms
14/07/01-10:36:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 353.425/357.588/363.264/4.649 ms
14/07/01-10:37:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.833/362.485/376.136/8.338 ms
14/07/01-10:39:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.459/364.738/376.983/10.211 ms
14/07/01-10:41:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 353.457/360.488/376.283/8.648 ms
14/07/01-10:42:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 353.643/362.761/376.351/10.971 ms
14/07/01-10:44:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.897/361.235/363.357/3.753 ms
14/07/01-10:45:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 354.569/369.513/377.720/9.166 ms
14/07/01-10:47:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.209/368.443/376.136/6.165 ms
14/07/01-10:49:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 353.897/362.464/378.067/8.857 ms
14/07/01-10:50:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 354.004/365.121/377.919/10.291 ms
14/07/01-10:52:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 353.634/360.169/376.018/8.792 ms
14/07/01-10:54:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 354.083/362.926/376.128/10.683 ms
14/07/01-10:55:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.633/358.276/376.201/8.963 ms
14/07/01-10:57:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 353.629/363.711/376.092/7.207 ms
14/07/01-10:59:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.306/362.311/376.875/8.591 ms
14/07/01-11:00:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.460/361.824/375.888/8.113 ms
14/07/01-11:02:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.844/362.439/377.367/8.619 ms
14/07/01-11:04:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 353.604/364.006/375.898/7.082 ms
14/07/01-11:05:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 353.693/367.213/376.326/11.026 ms
14/07/01-11:07:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 354.119/366.423/376.074/8.471 ms
14/07/01-11:09:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 353.252/362.833/376.733/11.289 ms
14/07/01-11:10:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 354.160/372.135/377.610/9.011 ms
14/07/01-11:12:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 353.972/366.552/376.084/8.500 ms
14/07/01-11:14:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 353.781/364.009/375.932/7.075 ms
14/07/01-11:15:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 353.507/360.418/376.082/8.944 ms
14/07/01-11:17:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.651/355.747/363.311/3.822 ms
14/07/01-11:19:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.536/367.267/376.458/11.020 ms
14/07/01-11:20:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 353.958/362.106/376.548/8.237 ms
14/07/01-11:22:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.524/363.688/376.023/7.181 ms
14/07/01-11:24:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 353.512/359.161/363.239/4.677 ms
14/07/01-11:25:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 362.745/370.775/376.262/6.532 ms
