14/07/01-10:08:11 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 314.235/314.297/314.357/0.357 ms
14/07/01-10:09:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 314.307/314.707/315.675/0.862 ms
14/07/01-10:11:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 314.242/314.565/315.204/0.697 ms
14/07/01-10:13:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 314.237/314.384/314.483/0.364 ms
14/07/01-10:14:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.249/314.388/314.519/0.093 ms
14/07/01-10:16:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.438/314.804/316.226/0.711 ms
14/07/01-10:18:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 314.375/314.489/314.597/0.619 ms
14/07/01-10:19:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.724/316.819/319.374/1.867 ms
14/07/01-10:21:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 314.347/314.576/315.135/0.581 ms
14/07/01-10:23:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 314.139/314.754/315.793/0.768 ms
14/07/01-10:24:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 314.290/314.352/314.449/0.711 ms
14/07/01-10:26:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 314.134/314.389/314.551/0.384 ms
14/07/01-10:28:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 314.268/314.495/315.055/0.577 ms
14/07/01-10:29:43 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 314.365/314.433/314.490/0.710 ms
14/07/01-10:31:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 314.390/314.489/314.652/0.715 ms
14/07/01-10:33:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 314.324/314.431/314.702/0.723 ms
