14/07/01-10:07:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 226.335/226.840/228.293/0.849 ms
14/07/01-10:09:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 226.146/226.699/227.628/0.752 ms
14/07/01-10:10:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 226.022/226.310/226.985/0.627 ms
14/07/01-10:12:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 226.040/226.784/228.161/0.737 ms
14/07/01-10:14:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 230.509/232.903/239.086/3.223 ms
14/07/01-10:15:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 225.976/226.369/227.293/0.572 ms
14/07/01-10:17:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 225.868/226.172/226.375/0.632 ms
14/07/01-10:19:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 226.091/226.322/226.489/0.344 ms
14/07/01-10:20:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 225.992/226.262/226.483/0.544 ms
14/07/01-10:22:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 225.927/226.304/226.773/0.520 ms
14/07/01-10:24:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 226.005/226.563/228.092/0.831 ms
14/07/01-10:25:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 226.009/226.406/226.827/0.439 ms
14/07/01-10:27:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 226.114/226.238/226.632/0.198 ms
14/07/01-10:29:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 225.790/226.118/226.224/0.343 ms
14/07/01-10:30:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 225.974/226.610/227.215/0.735 ms
14/07/01-10:32:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 226.031/226.584/228.172/0.953 ms
14/07/01-10:34:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 225.973/226.185/226.495/0.347 ms
14/07/01-10:35:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 226.226/226.649/227.835/0.848 ms
14/07/01-10:37:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 226.079/226.194/226.408/0.442 ms
14/07/01-10:39:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 226.024/226.748/227.500/0.813 ms
