14/07/01-10:08:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.759/243.974/244.422/0.395 ms
14/07/01-10:09:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.987/244.569/245.604/0.797 ms
14/07/01-10:11:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.809/243.943/244.343/0.371 ms
14/07/01-10:13:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.854/244.055/244.581/0.268 ms
14/07/01-10:14:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.346/244.114/245.165/0.587 ms
14/07/01-10:16:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 243.951/244.219/245.075/0.616 ms
14/07/01-10:18:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.891/244.304/244.819/0.568 ms
14/07/01-10:19:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.788/243.903/244.041/0.547 ms
14/07/01-10:21:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 243.911/244.083/244.400/0.646 ms
14/07/01-10:23:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.924/244.035/244.182/0.632 ms
14/07/01-10:24:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 243.875/244.828/245.881/0.986 ms
14/07/01-10:26:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.818/244.175/244.668/0.307 ms
14/07/01-10:27:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 243.924/244.026/244.169/0.633 ms
14/07/01-10:29:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.023/244.189/245.901/1.127 ms
14/07/01-10:31:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.718/243.999/244.513/0.523 ms
14/07/01-10:32:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.900/243.983/244.015/0.542 ms
14/07/01-10:34:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 243.858/244.107/244.395/0.653 ms
14/07/01-10:36:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.871/244.042/244.613/0.423 ms
14/07/01-10:37:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.790/244.552/246.682/1.252 ms
14/07/01-10:39:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4297ms rtt min/avg/max/mdev = 243.870/244.486/246.503/1.010 ms
14/07/01-10:41:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 243.864/244.111/244.707/0.450 ms
14/07/01-10:42:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 243.870/244.247/244.488/0.596 ms
14/07/01-10:44:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.888/243.967/244.049/0.445 ms
14/07/01-10:46:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.939/245.154/249.158/2.061 ms
14/07/01-10:47:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.935/244.123/244.461/0.582 ms
14/07/01-10:49:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.802/243.961/244.126/0.556 ms
14/07/01-10:51:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.010/244.653/245.957/0.990 ms
14/07/01-10:52:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.891/243.978/244.042/0.544 ms
14/07/01-10:54:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.771/243.836/243.886/0.543 ms
14/07/01-10:56:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.482/243.894/244.177/0.392 ms
14/07/01-10:57:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 243.804/243.946/244.038/0.090 ms
14/07/01-10:59:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.927/244.032/244.140/0.447 ms
14/07/01-11:01:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.785/244.192/244.890/0.672 ms
14/07/01-11:02:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 243.944/244.722/245.492/0.788 ms
