14/07/01-10:08:17 - 5 packets transmitted, 3 received, 40% packet loss, time 4011ms rtt min/avg/max/mdev = 275.715/319.865/406.669/61.384 ms
14/07/01-10:09:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 275.078/275.352/276.018/0.582 ms
14/07/01-10:11:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 274.968/275.036/275.125/0.337 ms
14/07/01-10:13:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.114/275.715/276.637/0.811 ms
14/07/01-10:14:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 275.754/286.216/291.988/5.979 ms
14/07/01-10:16:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 274.884/275.234/276.086/0.793 ms
14/07/01-10:18:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 275.159/275.396/275.817/0.520 ms
14/07/01-10:19:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 274.837/275.162/275.476/0.701 ms
14/07/01-10:21:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 274.968/275.559/276.445/0.864 ms
14/07/01-10:23:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.098/275.632/276.167/0.340 ms
14/07/01-10:24:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 274.933/275.097/275.322/0.675 ms
14/07/01-10:26:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 274.843/275.264/275.634/0.420 ms
14/07/01-10:28:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 274.890/275.739/276.880/0.914 ms
14/07/01-10:29:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 274.983/275.457/276.157/0.529 ms
14/07/01-10:31:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 275.627/278.015/280.582/1.991 ms
14/07/01-10:33:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.113/275.464/275.932/0.538 ms
14/07/01-10:34:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 274.848/275.147/275.400/0.188 ms
14/07/01-10:36:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 274.939/275.449/276.636/0.837 ms
14/07/01-10:38:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 274.825/275.076/275.436/0.243 ms
14/07/01-10:39:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 274.837/275.036/275.389/0.381 ms
14/07/01-10:41:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 274.986/275.159/275.525/0.188 ms
14/07/01-10:43:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 274.870/275.072/275.341/0.212 ms
14/07/01-10:44:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 275.110/275.510/276.060/0.704 ms
14/07/01-10:46:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 275.050/275.328/275.996/0.585 ms
14/07/01-10:48:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 274.858/275.118/275.565/0.410 ms
14/07/01-10:49:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.095/275.633/277.032/1.003 ms
14/07/01-10:51:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 275.057/275.355/275.728/0.414 ms
14/07/01-10:53:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 274.982/275.837/276.393/0.641 ms
14/07/01-10:54:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 278.239/279.317/281.140/0.968 ms
14/07/01-10:56:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 274.879/280.012/286.583/4.584 ms
14/07/01-10:58:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 274.908/275.792/277.076/0.955 ms
14/07/01-10:59:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 275.026/276.495/280.337/1.983 ms
14/07/01-11:01:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 275.321/279.714/283.228/3.258 ms
14/07/01-11:03:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 274.878/275.045/275.455/0.615 ms
14/07/01-11:04:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 274.812/275.245/276.146/0.659 ms
14/07/01-11:06:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 274.867/275.116/275.363/0.379 ms
14/07/01-11:08:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.033/276.750/281.224/2.447 ms
14/07/01-11:09:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 274.817/275.469/276.546/0.915 ms
14/07/01-11:11:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.069/275.905/277.183/1.054 ms
14/07/01-11:12:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 275.392/279.657/284.777/4.050 ms
14/07/01-11:14:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.008/275.628/276.795/0.894 ms
