14/07/01-10:07:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.744/83.872/83.993/0.375 ms
14/07/01-10:09:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.879/83.914/83.947/0.318 ms
14/07/01-10:10:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 83.845/83.907/83.966/0.263 ms
14/07/01-10:12:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.704/83.942/84.364/0.235 ms
14/07/01-10:14:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 83.829/83.894/83.940/0.368 ms
14/07/01-10:15:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.847/83.988/84.143/0.276 ms
14/07/01-10:17:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.726/83.820/83.931/0.372 ms
14/07/01-10:19:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.795/83.887/83.981/0.322 ms
14/07/01-10:20:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.761/83.940/84.455/0.409 ms
14/07/01-10:22:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.699/83.844/83.905/0.075 ms
14/07/01-10:24:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.795/83.882/83.960/0.190 ms
14/07/01-10:25:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.822/84.112/84.988/0.572 ms
14/07/01-10:27:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.804/83.913/84.092/0.382 ms
14/07/01-10:29:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 83.867/83.960/84.224/0.390 ms
14/07/01-10:30:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.839/83.940/84.205/0.390 ms
14/07/01-10:32:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.840/83.957/84.134/0.208 ms
14/07/01-10:34:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.826/83.938/84.000/0.059 ms
14/07/01-10:35:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 83.875/83.949/83.991/0.039 ms
14/07/01-10:37:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 83.878/83.974/84.105/0.374 ms
14/07/01-10:39:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 83.772/83.869/84.081/0.214 ms
14/07/01-10:40:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.810/83.922/83.990/0.060 ms
14/07/01-10:42:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.780/83.879/83.948/0.266 ms
14/07/01-10:44:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.730/83.816/83.934/0.196 ms
14/07/01-10:45:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.797/83.895/83.992/0.374 ms
14/07/01-10:47:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.775/83.883/84.069/0.098 ms
14/07/01-10:49:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.821/83.877/83.953/0.043 ms
14/07/01-10:50:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.784/83.853/83.960/0.371 ms
14/07/01-10:52:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.792/83.861/83.927/0.057 ms
14/07/01-10:54:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.820/83.839/83.891/0.260 ms
14/07/01-10:55:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.770/83.959/84.512/0.462 ms
14/07/01-10:57:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.820/83.901/84.026/0.324 ms
14/07/01-10:59:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.805/83.855/83.891/0.261 ms
14/07/01-11:00:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 83.790/83.878/83.957/0.058 ms
14/07/01-11:02:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 83.766/83.829/83.968/0.269 ms
14/07/01-11:04:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.794/84.049/84.527/0.380 ms
14/07/01-11:05:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.863/83.943/84.073/0.325 ms
14/07/01-11:07:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.786/83.882/83.986/0.327 ms
14/07/01-11:09:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 83.735/83.956/84.288/0.414 ms
14/07/01-11:10:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.764/84.097/84.956/0.434 ms
14/07/01-11:12:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 83.794/84.074/84.696/0.395 ms
14/07/01-11:14:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 83.681/83.795/83.943/0.105 ms
14/07/01-11:15:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.764/83.952/84.225/0.351 ms
14/07/01-11:17:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.817/83.891/83.977/0.321 ms
14/07/01-11:18:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.853/83.951/84.086/0.278 ms
14/07/01-11:20:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.833/84.015/84.378/0.371 ms
14/07/01-11:22:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 83.887/83.953/84.014/0.188 ms
14/07/01-11:23:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 83.773/83.832/83.890/0.187 ms
