14/07/01-10:08:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 168.653/168.881/169.150/0.310 ms
14/07/01-10:10:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.741/168.864/168.980/0.378 ms
14/07/01-10:11:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 168.654/169.084/170.188/0.568 ms
14/07/01-10:13:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.607/168.844/169.093/0.160 ms
14/07/01-10:15:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 168.721/168.857/169.021/0.528 ms
14/07/01-10:16:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 168.617/168.780/168.870/0.527 ms
14/07/01-10:18:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.773/168.868/168.941/0.522 ms
14/07/01-10:20:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.704/168.982/169.369/0.289 ms
14/07/01-10:21:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 168.776/168.933/169.042/0.531 ms
14/07/01-10:23:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 168.772/168.860/168.992/0.377 ms
14/07/01-10:25:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.769/168.881/169.121/0.125 ms
14/07/01-10:26:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 168.807/168.903/169.012/0.066 ms
14/07/01-10:28:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.839/169.023/169.173/0.532 ms
14/07/01-10:30:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 168.759/168.968/169.497/0.526 ms
14/07/01-10:31:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.708/168.870/169.070/0.385 ms
14/07/01-10:33:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.797/168.977/169.107/0.467 ms
14/07/01-10:35:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 168.845/169.052/169.385/0.412 ms
14/07/01-10:36:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 168.671/169.170/170.577/0.841 ms
14/07/01-10:38:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 168.719/171.645/183.052/5.715 ms
14/07/01-10:40:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 168.742/169.234/170.536/0.847 ms
14/07/01-10:41:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 168.713/168.823/168.962/0.457 ms
14/07/01-10:43:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.825/168.908/169.165/0.535 ms
14/07/01-10:45:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 168.697/168.805/168.880/0.070 ms
14/07/01-10:46:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 168.775/169.032/169.578/0.591 ms
14/07/01-10:48:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 168.776/168.879/169.083/0.384 ms
14/07/01-10:50:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 168.713/168.876/169.204/0.312 ms
14/07/01-10:51:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 168.816/169.002/169.171/0.388 ms
14/07/01-10:53:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 168.638/168.832/169.090/0.475 ms
