14/07/01-10:07:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 89.847/91.841/93.967/1.504 ms
14/07/01-10:09:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 89.832/91.591/93.821/1.804 ms
14/07/01-10:10:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 89.910/92.054/93.691/1.706 ms
14/07/01-10:12:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.532/92.443/93.971/1.488 ms
14/07/01-10:14:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 89.683/91.168/93.291/1.686 ms
14/07/01-10:15:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 91.058/92.993/94.090/1.044 ms
14/07/01-10:17:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 89.721/91.686/94.106/1.805 ms
14/07/01-10:19:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 90.605/92.646/94.008/1.542 ms
14/07/01-10:20:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 90.393/91.870/93.696/1.486 ms
14/07/01-10:22:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 89.856/92.170/93.959/1.610 ms
14/07/01-10:24:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 90.346/92.960/93.951/1.383 ms
14/07/01-10:25:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 89.765/92.602/93.833/1.484 ms
14/07/01-10:27:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 89.898/92.335/94.028/1.651 ms
14/07/01-10:29:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 89.704/90.747/93.503/1.434 ms
14/07/01-10:30:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 90.076/91.545/93.520/1.437 ms
14/07/01-10:32:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 90.232/92.847/95.294/1.877 ms
14/07/01-10:33:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 90.445/93.454/96.521/1.943 ms
14/07/01-10:35:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 90.214/91.846/94.098/1.593 ms
14/07/01-10:37:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 90.378/92.404/94.080/1.596 ms
14/07/01-10:38:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 89.961/92.174/93.946/1.572 ms
14/07/01-10:40:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 89.994/92.729/94.066/1.469 ms
14/07/01-10:42:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 89.749/91.507/93.896/1.696 ms
