14/07/01-10:08:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 174.303/174.403/174.496/0.273 ms
14/07/01-10:10:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 174.357/174.396/174.454/0.529 ms
14/07/01-10:11:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 174.315/174.367/174.432/0.268 ms
14/07/01-10:13:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 174.283/174.426/174.692/0.304 ms
14/07/01-10:15:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 174.298/174.403/174.516/0.533 ms
14/07/01-10:16:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 174.354/174.432/174.498/0.054 ms
14/07/01-10:18:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 174.289/174.376/174.503/0.463 ms
14/07/01-10:20:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 174.317/174.401/174.573/0.466 ms
14/07/01-10:21:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.250/174.478/174.776/0.410 ms
14/07/01-10:23:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 174.243/174.510/175.205/0.576 ms
14/07/01-10:25:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.210/174.254/174.334/0.459 ms
14/07/01-10:26:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 174.300/174.361/174.425/0.529 ms
14/07/01-10:28:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.389/174.451/174.510/0.376 ms
14/07/01-10:30:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.264/174.485/174.855/0.207 ms
14/07/01-10:31:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 174.276/174.379/174.496/0.534 ms
14/07/01-10:33:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.305/174.380/174.434/0.459 ms
14/07/01-10:35:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.298/174.381/174.470/0.462 ms
14/07/01-10:36:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.247/174.296/174.321/0.025 ms
14/07/01-10:38:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 174.293/174.356/174.419/0.530 ms
14/07/01-10:40:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 174.390/174.425/174.476/0.374 ms
14/07/01-10:41:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.310/174.647/175.604/0.717 ms
14/07/01-10:43:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.358/174.507/174.656/0.469 ms
14/07/01-10:45:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.340/174.438/174.579/0.082 ms
14/07/01-10:46:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.268/174.385/174.477/0.534 ms
14/07/01-10:48:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.324/174.393/174.476/0.056 ms
14/07/01-10:49:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 174.307/174.376/174.429/0.268 ms
14/07/01-10:51:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.347/174.420/174.463/0.376 ms
14/07/01-10:53:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 174.274/174.427/174.559/0.280 ms
14/07/01-10:54:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 174.295/174.350/174.424/0.268 ms
14/07/01-10:56:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 174.255/174.347/174.449/0.272 ms
