14/07/01-10:08:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.313/130.269/133.778/1.769 ms
14/07/01-10:10:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.188/129.338/129.560/0.263 ms
14/07/01-10:11:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.286/129.689/130.427/0.567 ms
14/07/01-10:13:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 129.220/129.880/132.157/1.208 ms
14/07/01-10:15:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.105/129.336/129.523/0.484 ms
14/07/01-10:16:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 129.298/130.050/132.814/1.456 ms
14/07/01-10:18:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 129.286/129.374/129.439/0.235 ms
14/07/01-10:20:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.135/129.386/129.844/0.464 ms
14/07/01-10:21:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 129.171/129.340/129.456/0.464 ms
14/07/01-10:23:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.215/129.284/129.393/0.399 ms
14/07/01-10:25:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 129.227/129.374/129.608/0.418 ms
14/07/01-10:26:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 129.283/129.328/129.428/0.052 ms
14/07/01-10:28:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 129.309/129.357/129.413/0.396 ms
14/07/01-10:29:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.231/129.313/129.378/0.325 ms
14/07/01-10:31:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 129.298/129.821/131.204/0.796 ms
14/07/01-10:33:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 129.239/129.362/129.446/0.331 ms
14/07/01-10:35:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 129.179/129.258/129.368/0.328 ms
14/07/01-10:36:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.844/130.324/130.722/0.507 ms
14/07/01-10:38:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 129.271/129.391/129.518/0.334 ms
14/07/01-10:39:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 129.248/129.530/130.309/0.395 ms
14/07/01-10:41:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 129.169/129.311/129.452/0.250 ms
14/07/01-10:43:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.284/129.383/129.633/0.260 ms
14/07/01-10:44:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.273/129.348/129.458/0.329 ms
14/07/01-10:46:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.349/129.681/130.953/0.782 ms
14/07/01-10:48:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.276/129.335/129.383/0.323 ms
14/07/01-10:49:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.139/129.208/129.313/0.458 ms
14/07/01-10:51:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.272/129.527/130.344/0.568 ms
14/07/01-10:53:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.305/129.392/129.531/0.403 ms
14/07/01-10:54:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4295ms rtt min/avg/max/mdev = 129.301/129.495/130.081/0.372 ms
14/07/01-10:56:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 129.150/129.222/129.355/0.241 ms
14/07/01-10:58:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 129.217/129.485/130.301/0.523 ms
14/07/01-10:59:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.358/129.417/129.483/0.231 ms
14/07/01-11:01:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.243/129.283/129.359/0.040 ms
14/07/01-11:03:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.261/129.467/129.801/0.489 ms
14/07/01-11:04:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 129.304/129.381/129.449/0.233 ms
14/07/01-11:06:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 129.188/129.431/129.869/0.398 ms
14/07/01-11:08:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 129.223/129.302/129.379/0.325 ms
14/07/01-11:09:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 129.149/129.571/130.601/0.571 ms
14/07/01-11:11:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.252/129.359/129.495/0.331 ms
14/07/01-11:13:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 129.193/129.465/130.281/0.613 ms
14/07/01-11:14:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 129.307/129.340/129.356/0.017 ms
