14/07/01-10:07:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.805/63.863/63.938/0.230 ms
14/07/01-10:08:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.876/63.959/64.032/0.231 ms
14/07/01-10:10:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 63.955/63.990/64.034/0.321 ms
14/07/01-10:12:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.736/63.840/63.911/0.282 ms
14/07/01-10:13:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 63.866/63.992/64.060/0.173 ms
14/07/01-10:15:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.785/63.849/63.883/0.279 ms
14/07/01-10:17:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.748/63.883/63.989/0.332 ms
14/07/01-10:18:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 63.809/63.916/64.029/0.239 ms
14/07/01-10:20:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.856/64.019/64.293/0.278 ms
14/07/01-10:22:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.794/63.932/64.045/0.330 ms
14/07/01-10:23:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.844/63.955/64.081/0.288 ms
14/07/01-10:25:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.874/63.955/64.050/0.324 ms
14/07/01-10:27:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.841/63.956/64.109/0.290 ms
14/07/01-10:28:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.768/63.795/63.867/0.279 ms
14/07/01-10:30:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.891/63.972/64.061/0.285 ms
14/07/01-10:31:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.801/63.849/63.910/0.321 ms
14/07/01-10:33:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 63.755/63.886/63.951/0.327 ms
14/07/01-10:35:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.892/63.967/64.054/0.234 ms
14/07/01-10:36:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.824/63.900/63.953/0.043 ms
14/07/01-10:38:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.895/63.946/64.063/0.283 ms
14/07/01-10:40:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.850/63.942/63.980/0.167 ms
14/07/01-10:41:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.868/63.911/63.955/0.037 ms
14/07/01-10:43:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.874/63.943/64.089/0.287 ms
14/07/01-10:45:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.729/63.817/63.888/0.325 ms
14/07/01-10:46:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.805/63.861/63.923/0.322 ms
14/07/01-10:48:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.852/63.929/64.108/0.244 ms
14/07/01-10:50:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.862/63.913/63.988/0.046 ms
14/07/01-10:51:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.850/63.904/63.965/0.230 ms
14/07/01-10:53:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 63.904/63.980/64.030/0.167 ms
14/07/01-10:55:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.835/64.256/65.674/0.712 ms
14/07/01-10:56:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 63.785/63.898/63.954/0.234 ms
14/07/01-10:58:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.894/64.048/64.520/0.327 ms
14/07/01-11:00:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 63.831/63.907/63.979/0.052 ms
14/07/01-11:01:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.953/63.993/64.031/0.227 ms
14/07/01-11:03:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.791/63.841/63.916/0.280 ms
14/07/01-11:05:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 63.804/63.939/64.033/0.238 ms
14/07/01-11:06:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.853/63.912/63.946/0.278 ms
14/07/01-11:08:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 63.896/63.921/63.967/0.162 ms
14/07/01-11:10:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.781/63.882/64.018/0.289 ms
14/07/01-11:11:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.865/64.054/64.636/0.291 ms
14/07/01-11:13:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 63.778/63.923/64.004/0.178 ms
14/07/01-11:15:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 63.784/63.933/64.027/0.081 ms
14/07/01-11:16:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.754/63.943/64.114/0.198 ms
14/07/01-11:18:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.848/63.914/63.950/0.321 ms
14/07/01-11:20:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.825/63.871/63.926/0.321 ms
14/07/01-11:21:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.941/63.964/64.004/0.023 ms
14/07/01-11:23:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.965/64.020/64.099/0.231 ms
14/07/01-11:25:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 63.756/63.882/64.036/0.243 ms
14/07/01-11:26:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 63.801/63.887/63.941/0.324 ms
14/07/01-11:28:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 63.920/63.946/63.977/0.161 ms
14/07/01-11:30:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4008ms rtt min/avg/max/mdev = 63.809/63.881/63.927/0.045 ms
