14/07/01-10:07:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 291.358/292.281/293.851/0.911 ms
14/07/01-10:09:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 290.571/291.456/292.118/0.755 ms
14/07/01-10:11:15 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 294.691/295.140/295.706/0.817 ms
14/07/01-10:12:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 289.564/291.956/294.009/1.719 ms
14/07/01-10:14:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 292.435/293.264/294.089/0.838 ms
14/07/01-10:16:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 292.340/293.017/293.523/0.727 ms
14/07/01-10:17:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 292.571/293.157/293.841/0.742 ms
14/07/01-10:19:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 292.578/293.613/294.438/0.956 ms
14/07/01-10:21:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 292.679/293.383/293.699/0.522 ms
14/07/01-10:22:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 292.876/293.701/294.808/0.647 ms
14/07/01-10:24:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 292.523/292.844/293.611/0.794 ms
14/07/01-10:26:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 293.092/293.326/293.510/0.162 ms
14/07/01-10:27:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 292.386/292.827/293.709/0.576 ms
14/07/01-10:29:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 294.767/295.411/296.314/0.876 ms
14/07/01-10:31:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 295.277/295.822/296.679/0.681 ms
14/07/01-10:32:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 295.647/295.884/296.230/0.528 ms
14/07/01-10:34:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 295.044/295.648/296.387/0.614 ms
14/07/01-10:36:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 295.287/296.103/297.785/1.013 ms
14/07/01-10:37:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 295.144/295.839/296.455/0.676 ms
14/07/01-10:39:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 295.006/295.685/296.476/0.720 ms
