14/07/01-10:08:48 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 394.603/398.012/400.504/2.189 ms
14/07/01-10:10:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 392.056/397.006/405.378/4.943 ms
14/07/01-10:12:09 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 391.940/395.725/400.542/3.239 ms
14/07/01-10:13:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 392.223/393.263/396.896/1.944 ms
14/07/01-10:15:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 396.902/398.939/400.530/1.299 ms
14/07/01-10:17:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 391.981/395.179/400.694/3.836 ms
14/07/01-10:18:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 392.188/394.362/400.728/3.350 ms
14/07/01-10:20:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 392.271/394.915/405.036/5.092 ms
14/07/01-10:22:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 391.930/394.296/398.778/2.885 ms
14/07/01-10:23:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 392.106/394.852/400.759/3.493 ms
14/07/01-10:25:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 392.011/398.107/404.852/4.417 ms
14/07/01-10:27:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 392.059/393.965/396.508/2.146 ms
14/07/01-10:28:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 392.040/395.939/399.636/2.553 ms
14/07/01-10:30:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 392.159/397.350/405.014/5.075 ms
14/07/01-10:32:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 391.953/396.054/400.351/3.519 ms
14/07/01-10:33:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 392.044/394.162/397.361/2.473 ms
14/07/01-10:35:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 392.073/397.301/404.903/4.173 ms
14/07/01-10:37:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 392.033/394.933/397.161/2.340 ms
