14/07/01-10:09:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 464.580/469.281/472.145/2.957 ms
14/07/01-10:10:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 468.495/472.592/475.644/3.289 ms
14/07/01-10:12:25 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 469.106/472.229/476.191/2.887 ms
14/07/01-10:14:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 465.385/470.715/473.048/2.770 ms
14/07/01-10:15:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 464.719/469.323/477.964/4.971 ms
14/07/01-10:17:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 468.378/471.287/475.592/2.557 ms
14/07/01-10:19:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 467.948/470.832/475.622/2.796 ms
14/07/01-10:20:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 464.777/471.022/474.996/3.514 ms
14/07/01-10:22:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 467.929/471.752/475.224/2.762 ms
14/07/01-10:24:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 466.128/469.768/475.536/3.317 ms
14/07/01-10:25:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 464.942/470.255/474.878/3.718 ms
14/07/01-10:27:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 467.785/471.392/475.622/3.495 ms
14/07/01-10:29:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 465.509/471.275/478.289/4.208 ms
14/07/01-10:30:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 467.932/471.350/475.924/2.920 ms
14/07/01-10:32:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 463.795/471.039/475.665/3.998 ms
14/07/01-10:34:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 464.592/471.156/474.957/3.506 ms
14/07/01-10:35:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 464.933/470.987/476.140/4.619 ms
14/07/01-10:37:31 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 464.628/467.550/470.442/1.853 ms
14/07/01-10:39:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 467.170/470.846/475.150/3.144 ms
14/07/01-10:40:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 468.817/473.292/477.347/3.005 ms
14/07/01-10:42:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 467.673/472.008/476.889/3.033 ms
14/07/01-10:44:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 464.661/471.857/477.420/4.449 ms
14/07/01-10:45:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 470.232/472.972/475.506/2.130 ms
14/07/01-10:47:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 468.957/471.924/476.695/2.732 ms
14/07/01-10:49:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 464.458/469.660/473.481/3.099 ms
14/07/01-10:50:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 467.275/470.586/474.741/3.271 ms
14/07/01-10:52:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 467.984/471.583/476.518/3.258 ms
14/07/01-10:54:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 464.942/470.455/473.605/3.006 ms
14/07/01-10:55:55 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 465.788/471.703/474.984/3.375 ms
14/07/01-10:57:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 467.590/473.154/476.834/3.257 ms
14/07/01-10:59:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 468.348/472.425/476.816/3.124 ms
14/07/01-11:00:56 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 468.528/471.020/477.297/3.264 ms
14/07/01-11:02:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 464.625/470.090/475.282/3.636 ms
14/07/01-11:04:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 467.721/473.541/477.192/3.377 ms
14/07/01-11:05:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 463.852/470.263/476.114/4.058 ms
14/07/01-11:07:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 467.709/470.915/474.693/3.049 ms
14/07/01-11:09:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 470.193/473.208/476.963/2.729 ms
14/07/01-11:10:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 468.975/473.963/475.994/2.684 ms
14/07/01-11:12:40 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 470.506/472.196/475.006/1.711 ms
14/07/01-11:14:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 468.107/470.818/476.231/3.243 ms
14/07/01-11:16:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 465.203/469.950/472.856/2.723 ms
14/07/01-11:17:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 464.555/468.593/472.889/2.757 ms
14/07/01-11:19:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 466.857/470.592/477.174/3.881 ms
14/07/01-11:21:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 468.727/470.750/473.941/2.009 ms
14/07/01-11:22:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 467.539/472.476/476.888/3.042 ms
14/07/01-11:24:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 467.756/472.358/475.680/3.072 ms
14/07/01-11:26:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 469.136/472.257/474.937/2.248 ms
14/07/01-11:27:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 463.841/467.956/472.196/3.470 ms
14/07/01-11:29:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 469.049/471.202/472.798/1.210 ms
14/07/01-11:31:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 467.475/470.314/475.604/3.048 ms
14/07/01-11:32:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 470.660/471.532/472.365/0.893 ms
14/07/01-11:34:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 467.078/472.396/477.139/3.299 ms
