14/07/01-10:08:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.848/242.925/243.003/0.542 ms
14/07/01-10:10:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 242.952/243.145/243.459/0.490 ms
14/07/01-10:11:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.822/242.957/243.055/0.546 ms
14/07/01-10:13:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.877/243.053/243.234/0.635 ms
14/07/01-10:15:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 242.924/242.971/243.075/0.542 ms
14/07/01-10:16:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.872/243.003/243.266/0.639 ms
14/07/01-10:18:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.860/242.937/243.077/0.079 ms
14/07/01-10:20:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.881/243.125/243.626/0.429 ms
14/07/01-10:21:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.907/243.004/243.130/0.078 ms
14/07/01-10:23:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.865/242.912/242.956/0.624 ms
14/07/01-10:25:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 242.884/242.972/243.057/0.069 ms
14/07/01-10:26:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.878/243.405/245.357/1.158 ms
14/07/01-10:28:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 242.901/244.014/248.399/2.236 ms
14/07/01-10:30:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 242.885/243.089/243.386/0.569 ms
14/07/01-10:31:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 242.856/243.001/243.107/0.092 ms
14/07/01-10:33:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 242.904/242.951/243.016/0.313 ms
14/07/01-10:35:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 242.883/242.983/243.147/0.107 ms
