14/07/01-10:08:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 252.823/255.141/257.429/2.018 ms
14/07/01-10:09:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 252.919/256.641/257.890/1.926 ms
14/07/01-10:11:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.921/254.816/257.313/2.139 ms
14/07/01-10:13:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 252.866/256.459/257.604/1.801 ms
14/07/01-10:14:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.840/256.635/258.463/1.978 ms
14/07/01-10:16:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.720/252.931/253.028/0.337 ms
14/07/01-10:18:13 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 253.286/256.800/258.143/1.841 ms
14/07/01-10:19:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.993/255.818/258.437/2.402 ms
14/07/01-10:21:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 252.876/254.683/257.357/2.241 ms
14/07/01-10:23:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 252.822/254.837/257.768/2.327 ms
14/07/01-10:24:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.919/254.978/258.069/2.293 ms
14/07/01-10:26:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.988/254.731/257.366/2.198 ms
14/07/01-10:28:16 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 253.006/255.753/258.004/2.336 ms
14/07/01-10:29:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.881/253.852/257.424/1.869 ms
14/07/01-10:31:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 257.199/257.390/257.571/0.140 ms
14/07/01-10:33:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 253.055/255.090/258.106/2.253 ms
14/07/01-10:34:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.890/253.868/257.715/2.025 ms
14/07/01-10:36:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.826/253.870/257.775/2.029 ms
14/07/01-10:38:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.775/255.630/257.384/2.142 ms
14/07/01-10:39:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 253.005/256.952/263.966/4.033 ms
14/07/01-10:41:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 252.953/255.816/257.940/2.150 ms
14/07/01-10:43:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 252.898/253.962/257.273/1.760 ms
14/07/01-10:44:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 252.935/253.008/253.101/0.075 ms
14/07/01-10:46:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 252.752/254.104/257.442/1.762 ms
14/07/01-10:48:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.882/254.742/257.386/2.223 ms
