14/07/01-10:09:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.900/110.204/110.486/0.217 ms
14/07/01-10:11:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.702/109.867/109.971/0.377 ms
14/07/01-10:12:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.668/109.932/110.242/0.316 ms
14/07/01-10:14:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.688/109.947/110.135/0.333 ms
14/07/01-10:16:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 109.757/110.112/110.806/0.531 ms
14/07/01-10:17:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 109.750/110.061/110.546/0.274 ms
14/07/01-10:19:23 - 5 packets transmitted, 4 received, 20% packet loss, time 4010ms rtt min/avg/max/mdev = 109.748/110.029/110.412/0.472 ms
14/07/01-10:21:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.718/110.064/110.502/0.416 ms
14/07/01-10:22:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.823/110.209/110.615/0.386 ms
14/07/01-10:24:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 109.598/109.894/110.038/0.447 ms
14/07/01-10:26:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 109.649/109.979/110.599/0.445 ms
14/07/01-10:27:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.685/110.989/113.727/1.517 ms
14/07/01-10:29:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 109.584/109.937/110.325/0.509 ms
14/07/01-10:31:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.851/110.045/110.521/0.382 ms
14/07/01-10:32:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.637/110.188/110.677/0.412 ms
14/07/01-10:34:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.661/109.890/110.130/0.349 ms
14/07/01-10:36:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 109.784/110.056/110.529/0.264 ms
14/07/01-10:37:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.899/110.263/110.484/0.372 ms
14/07/01-10:39:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.790/110.187/110.589/0.536 ms
14/07/01-10:41:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.806/110.056/110.428/0.361 ms
14/07/01-10:42:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 109.762/110.000/110.777/0.572 ms
14/07/01-10:44:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.697/110.273/110.953/0.550 ms
14/07/01-10:46:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.919/110.267/110.799/0.375 ms
14/07/01-10:47:49 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 109.845/110.374/111.861/0.755 ms
14/07/01-10:49:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 109.774/110.099/110.694/0.494 ms
14/07/01-10:51:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 109.691/110.174/110.525/0.461 ms
14/07/01-10:52:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 109.626/109.955/110.456/0.302 ms
