14/07/01-10:08:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.816/219.069/220.700/1.856 ms
14/07/01-10:10:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.469/219.083/222.930/2.594 ms
14/07/01-10:11:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.898/219.531/222.891/2.080 ms
14/07/01-10:13:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 215.630/223.259/228.758/5.058 ms
14/07/01-10:15:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.419/218.560/220.876/1.901 ms
14/07/01-10:16:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 219.170/220.154/223.183/1.646 ms
14/07/01-10:18:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 215.391/218.596/223.169/2.633 ms
14/07/01-10:20:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 215.456/218.536/223.178/2.858 ms
14/07/01-10:21:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.944/219.552/223.040/2.183 ms
14/07/01-10:23:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 219.219/219.650/220.515/0.630 ms
14/07/01-10:25:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.321/221.035/227.412/3.391 ms
14/07/01-10:26:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.414/217.345/220.646/1.849 ms
14/07/01-10:28:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 219.228/222.246/226.160/2.673 ms
14/07/01-10:30:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.825/220.824/227.758/3.681 ms
14/07/01-10:31:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.292/221.623/227.741/5.273 ms
14/07/01-10:33:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 219.153/219.943/220.771/0.677 ms
14/07/01-10:35:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 219.136/221.980/227.824/3.256 ms
14/07/01-10:36:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.536/219.171/222.988/2.655 ms
14/07/01-10:38:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 217.431/222.191/227.961/3.621 ms
14/07/01-10:40:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.879/218.994/221.088/1.799 ms
14/07/01-10:41:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.871/219.836/222.995/2.185 ms
14/07/01-10:43:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 217.023/221.814/227.770/3.566 ms
14/07/01-10:45:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.726/223.688/231.483/5.445 ms
14/07/01-10:46:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 217.747/224.227/231.525/5.045 ms
14/07/01-10:48:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.227/217.495/219.726/1.268 ms
14/07/01-10:50:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.363/219.412/227.719/4.551 ms
14/07/01-10:51:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.409/223.114/228.644/5.016 ms
14/07/01-10:53:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 219.201/221.508/223.218/1.862 ms
14/07/01-10:55:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.611/221.613/227.872/5.168 ms
14/07/01-10:56:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.313/221.522/232.047/7.018 ms
14/07/01-10:58:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 215.712/218.506/220.749/2.046 ms
14/07/01-11:00:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 215.353/219.591/224.295/2.918 ms
14/07/01-11:01:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 219.213/220.869/223.122/1.365 ms
14/07/01-11:03:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 216.697/219.972/227.811/4.014 ms
14/07/01-11:05:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 218.230/221.271/227.950/3.476 ms
14/07/01-11:07:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.340/219.200/223.332/3.246 ms
14/07/01-11:08:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.536/219.249/223.200/2.830 ms
14/07/01-11:10:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.932/221.401/231.734/5.403 ms
14/07/01-11:12:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.489/217.490/220.482/1.671 ms
14/07/01-11:13:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.771/217.914/220.606/1.439 ms
14/07/01-11:15:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.590/216.816/219.252/1.366 ms
14/07/01-11:17:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.427/220.943/228.845/4.398 ms
14/07/01-11:18:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.830/222.974/232.375/6.154 ms
14/07/01-11:20:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 220.577/223.111/227.889/2.678 ms
14/07/01-11:22:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.522/219.355/220.654/1.976 ms
14/07/01-11:23:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 219.277/221.364/227.580/3.169 ms
14/07/01-11:25:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.666/217.646/220.611/1.745 ms
14/07/01-11:27:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.651/219.923/222.981/2.473 ms
14/07/01-11:28:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.980/217.884/219.388/1.040 ms
14/07/01-11:30:27 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 216.774/219.934/223.006/2.066 ms
14/07/01-11:32:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 216.922/221.407/228.175/3.926 ms
14/07/01-11:33:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.318/219.360/223.163/2.593 ms
14/07/01-11:35:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.261/222.475/231.449/5.326 ms
14/07/01-11:37:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.438/220.157/232.295/6.211 ms
14/07/01-11:38:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.853/220.247/223.518/2.962 ms
14/07/01-11:40:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.715/220.716/229.074/4.345 ms
14/07/01-11:42:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 220.255/222.097/227.764/2.878 ms
14/07/01-11:43:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 216.953/220.330/229.049/4.489 ms
14/07/01-11:45:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.692/219.690/222.845/2.239 ms
14/07/01-11:47:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 217.891/221.622/229.696/4.198 ms
14/07/01-11:48:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 216.890/219.986/223.108/2.359 ms
14/07/01-11:50:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 218.337/221.688/227.792/3.199 ms
14/07/01-11:52:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.253/221.169/236.418/7.881 ms
14/07/01-11:53:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 215.362/221.929/230.257/6.179 ms
14/07/01-11:55:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.387/221.155/229.393/4.570 ms
14/07/01-11:57:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 216.983/219.805/223.038/2.034 ms
14/07/01-11:58:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 217.691/220.180/223.074/1.797 ms
14/07/01-12:00:43 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 215.956/219.330/223.046/2.333 ms
14/07/01-12:02:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.810/220.581/223.422/1.878 ms
14/07/01-12:04:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.329/219.936/223.164/2.569 ms
14/07/01-12:06:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.907/220.128/229.142/4.764 ms
14/07/01-12:08:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 219.582/222.461/229.031/3.460 ms
14/07/01-12:09:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.863/221.640/231.541/5.145 ms
14/07/01-12:11:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 217.799/220.833/225.963/2.830 ms
14/07/01-12:13:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.546/218.617/223.177/2.625 ms
14/07/01-12:15:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 216.837/219.566/222.953/2.226 ms
14/07/01-12:17:04 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 215.442/218.727/222.881/2.631 ms
14/07/01-12:18:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 216.883/218.827/223.001/2.472 ms
14/07/01-12:20:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.373/217.958/220.549/2.159 ms
14/07/01-12:22:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.697/218.652/220.746/1.775 ms
14/07/01-12:24:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 217.817/219.788/223.054/2.010 ms
14/07/01-12:26:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.842/220.876/225.797/3.357 ms
14/07/01-12:28:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 218.219/224.373/232.072/4.990 ms
14/07/01-12:29:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 217.790/220.830/224.036/2.198 ms
14/07/01-12:31:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 218.272/220.029/221.079/1.159 ms
14/07/01-12:33:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 219.340/222.817/231.515/4.591 ms
14/07/01-12:35:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 219.843/221.867/227.905/3.046 ms
14/07/01-12:37:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.803/221.670/231.686/5.673 ms
14/07/01-12:39:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 215.398/219.200/223.181/2.795 ms
14/07/01-12:40:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.348/220.064/227.967/4.361 ms
14/07/01-12:42:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 218.113/222.108/228.970/3.837 ms
14/07/01-12:44:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 216.708/220.028/223.187/2.104 ms
14/07/01-12:46:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 216.841/218.914/220.491/1.329 ms
14/07/01-12:48:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 215.611/218.415/220.571/1.924 ms
14/07/01-12:50:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 215.357/222.100/227.842/4.165 ms
14/07/01-12:51:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 217.818/222.455/231.672/4.794 ms
14/07/01-12:53:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 215.428/221.026/229.513/5.032 ms
14/07/01-12:55:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 218.310/221.314/227.942/3.414 ms
14/07/01-12:57:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 217.795/221.255/229.834/4.435 ms
14/07/01-12:59:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 218.359/222.375/229.158/3.758 ms
14/07/01-13:01:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 216.898/219.536/223.451/2.412 ms
14/07/01-13:02:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 215.725/216.877/218.317/1.276 ms
