14/07/01-10:08:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.856/392.336/399.408/4.204 ms
14/07/01-10:10:34 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 389.109/393.046/399.130/3.621 ms
14/07/01-10:12:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.055/388.112/390.796/2.271 ms
14/07/01-10:13:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 385.965/391.133/399.300/4.934 ms
14/07/01-10:15:35 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 386.394/390.773/393.345/2.484 ms
14/07/01-10:17:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 390.616/393.424/398.862/3.022 ms
14/07/01-10:18:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 386.338/387.925/390.589/1.719 ms
14/07/01-10:20:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 386.362/391.035/398.736/4.208 ms
14/07/01-10:22:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.641/389.914/394.519/3.014 ms
14/07/01-10:23:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.157/388.615/393.267/2.576 ms
14/07/01-10:25:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 385.938/387.982/390.609/1.763 ms
14/07/01-10:27:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.353/391.217/398.995/4.670 ms
14/07/01-10:28:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.041/390.667/395.296/3.217 ms
14/07/01-10:30:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.176/388.308/391.786/2.519 ms
14/07/01-10:32:19 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 388.737/391.760/393.246/1.800 ms
14/07/01-10:33:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.331/388.735/393.097/2.752 ms
14/07/01-10:35:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 388.486/390.647/394.500/2.244 ms
14/07/01-10:37:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 390.663/394.147/398.940/3.904 ms
14/07/01-10:39:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.105/389.459/393.321/2.820 ms
14/07/01-10:40:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.558/391.772/399.777/4.390 ms
14/07/01-10:42:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 386.009/389.293/399.169/5.044 ms
14/07/01-10:44:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.168/392.322/395.037/3.413 ms
14/07/01-10:45:42 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 386.128/392.146/398.890/4.285 ms
14/07/01-10:47:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.286/391.631/399.246/4.456 ms
14/07/01-10:49:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.316/389.320/392.850/2.544 ms
14/07/01-10:50:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 386.108/392.453/399.238/4.406 ms
14/07/01-10:52:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.196/388.893/391.045/2.216 ms
14/07/01-10:54:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 385.962/388.076/390.837/2.188 ms
14/07/01-10:55:44 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 385.988/389.099/392.905/3.147 ms
14/07/01-10:57:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.709/390.215/394.062/2.850 ms
14/07/01-10:59:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 386.006/402.258/427.616/18.032 ms
14/07/01-11:00:45 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 386.312/389.947/395.174/3.351 ms
14/07/01-11:02:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.649/391.290/395.021/2.787 ms
14/07/01-11:04:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 386.030/388.897/390.804/2.373 ms
