14/07/01-10:09:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.663/249.014/251.195/1.463 ms
14/07/01-10:10:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.874/248.722/250.043/1.111 ms
14/07/01-10:12:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.725/249.642/250.773/1.226 ms
14/07/01-10:14:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 249.034/250.872/251.750/1.073 ms
14/07/01-10:15:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.877/249.394/250.426/1.007 ms
14/07/01-10:17:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 248.097/249.036/250.093/0.906 ms
14/07/01-10:19:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 248.416/252.425/265.527/6.613 ms
14/07/01-10:20:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.728/248.535/251.010/1.246 ms
14/07/01-10:22:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 248.084/250.052/251.086/1.117 ms
14/07/01-10:24:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 249.540/250.699/251.876/0.776 ms
14/07/01-10:25:54 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 249.486/252.265/259.498/3.696 ms
14/07/01-10:27:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.217/251.065/253.466/1.366 ms
14/07/01-10:29:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.872/249.387/250.285/1.041 ms
14/07/01-10:30:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 248.139/249.680/250.636/0.860 ms
14/07/01-10:32:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 248.144/250.038/251.789/1.457 ms
14/07/01-10:34:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.924/248.778/250.307/1.045 ms
14/07/01-10:35:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.741/249.310/251.083/1.380 ms
14/07/01-10:37:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.766/248.466/250.358/1.058 ms
14/07/01-10:39:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 248.141/249.531/251.878/1.431 ms
14/07/01-10:40:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 248.104/249.834/253.417/1.900 ms
14/07/01-10:42:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.797/249.320/250.356/1.238 ms
14/07/01-10:44:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.977/249.388/250.114/0.988 ms
14/07/01-10:45:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.870/249.607/250.860/1.080 ms
14/07/01-10:47:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 248.049/249.218/250.771/1.014 ms
14/07/01-10:49:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 249.924/250.989/251.844/1.028 ms
14/07/01-10:50:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.758/249.786/251.778/1.619 ms
14/07/01-10:52:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.728/248.684/250.068/0.933 ms
14/07/01-10:54:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 247.977/249.720/251.661/1.247 ms
14/07/01-10:56:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.985/249.062/250.436/1.201 ms
14/07/01-10:57:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.222/250.245/251.011/0.827 ms
14/07/01-10:59:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 249.447/250.054/251.102/0.743 ms
14/07/01-11:01:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.449/250.178/251.029/0.625 ms
14/07/01-11:02:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.690/249.762/251.848/1.339 ms
14/07/01-11:04:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 247.896/249.196/249.964/0.974 ms
14/07/01-11:06:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 249.458/249.957/250.781/0.701 ms
14/07/01-11:07:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 247.744/249.140/250.384/1.336 ms
14/07/01-11:09:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 248.211/249.449/251.663/1.292 ms
14/07/01-11:11:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.779/248.933/250.069/0.913 ms
14/07/01-11:12:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 248.285/249.358/250.273/0.826 ms
14/07/01-11:14:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 248.574/249.966/251.795/1.096 ms
14/07/01-11:16:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.870/248.764/250.832/1.238 ms
14/07/01-11:17:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 248.468/249.728/250.790/1.090 ms
14/07/01-11:19:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 248.139/249.552/250.460/0.865 ms
14/07/01-11:21:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 247.894/249.985/251.472/1.298 ms
14/07/01-11:22:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.966/249.580/251.395/1.383 ms
14/07/01-11:24:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 247.716/249.084/250.327/0.962 ms
14/07/01-11:26:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.696/248.482/249.657/0.984 ms
14/07/01-11:27:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.799/249.600/250.739/1.052 ms
14/07/01-11:29:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 248.127/249.064/250.444/1.058 ms
14/07/01-11:31:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.861/249.824/251.113/1.136 ms
