14/07/01-10:08:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 283.957/286.061/288.934/1.781 ms
14/07/01-10:10:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.724/284.336/286.291/1.372 ms
14/07/01-10:11:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 283.893/287.477/294.124/3.837 ms
14/07/01-10:13:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 284.281/287.764/294.749/3.921 ms
14/07/01-10:15:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 282.649/286.276/288.934/2.145 ms
14/07/01-10:16:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 283.883/286.417/288.643/1.600 ms
14/07/01-10:18:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.722/286.244/289.410/2.779 ms
14/07/01-10:20:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 283.075/288.230/293.703/4.623 ms
14/07/01-10:22:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 282.646/284.705/286.458/1.708 ms
14/07/01-10:23:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.622/285.612/288.868/2.688 ms
14/07/01-10:25:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.595/287.742/297.390/5.047 ms
14/07/01-10:27:02 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 283.126/289.243/294.658/4.457 ms
14/07/01-10:28:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 282.784/287.567/293.524/3.566 ms
14/07/01-10:30:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 283.637/285.565/286.566/1.231 ms
14/07/01-10:32:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 282.668/284.954/288.841/2.535 ms
14/07/01-10:33:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 282.726/286.680/294.074/3.962 ms
14/07/01-10:35:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.723/284.302/286.486/1.568 ms
14/07/01-10:37:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.739/286.221/294.724/4.393 ms
14/07/01-10:38:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 283.971/288.514/297.736/4.901 ms
14/07/01-10:40:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 282.693/284.845/288.884/2.330 ms
14/07/01-10:42:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 283.051/284.816/286.717/1.561 ms
14/07/01-10:43:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 282.738/285.529/289.312/3.002 ms
14/07/01-10:45:26 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 282.662/287.384/294.144/5.360 ms
14/07/01-10:47:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 282.750/285.132/288.927/2.158 ms
14/07/01-10:48:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 282.608/286.859/297.325/5.384 ms
14/07/01-10:50:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 283.782/286.235/288.839/1.848 ms
14/07/01-10:52:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 282.822/286.838/295.091/4.678 ms
