14/07/01-10:08:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.106/245.339/249.329/2.115 ms
14/07/01-10:09:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 243.948/244.131/244.392/0.350 ms
14/07/01-10:11:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 244.030/244.088/244.169/0.627 ms
14/07/01-10:13:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.103/244.249/244.689/0.382 ms
14/07/01-10:14:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.119/244.250/244.420/0.459 ms
14/07/01-10:16:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 244.206/244.490/244.853/0.513 ms
14/07/01-10:18:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.101/244.310/244.713/0.582 ms
14/07/01-10:19:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.976/244.162/244.392/0.463 ms
14/07/01-10:21:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 244.174/244.290/244.341/0.628 ms
14/07/01-10:23:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 243.971/244.363/244.857/0.729 ms
14/07/01-10:25:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.437/244.259/244.962/0.743 ms
14/07/01-10:26:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 244.010/244.284/245.116/0.419 ms
14/07/01-10:28:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.068/244.356/244.970/0.321 ms
14/07/01-10:30:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.974/244.160/244.483/0.170 ms
14/07/01-10:31:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 244.067/244.163/244.286/0.323 ms
14/07/01-10:33:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.284/244.456/244.681/0.134 ms
14/07/01-10:35:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.996/244.077/244.313/0.120 ms
14/07/01-10:36:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 244.048/244.184/244.337/0.451 ms
14/07/01-10:38:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.066/244.112/244.142/0.313 ms
14/07/01-10:40:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.059/244.467/244.807/0.419 ms
14/07/01-10:41:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.019/244.135/244.218/0.321 ms
14/07/01-10:43:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.067/244.149/244.244/0.059 ms
14/07/01-10:45:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.070/244.332/244.545/0.205 ms
14/07/01-10:46:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.023/244.092/244.168/0.053 ms
14/07/01-10:48:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.977/244.129/244.232/0.547 ms
14/07/01-10:50:06 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 243.951/244.237/244.670/0.593 ms
14/07/01-10:51:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.117/244.245/244.548/0.350 ms
14/07/01-10:53:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.048/244.436/244.875/0.713 ms
14/07/01-10:55:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 243.931/244.137/244.549/0.665 ms
14/07/01-10:56:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.096/244.213/244.509/0.152 ms
14/07/01-10:58:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 243.989/244.196/244.355/0.636 ms
14/07/01-11:00:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 244.002/244.222/244.902/0.341 ms
14/07/01-11:01:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.041/244.256/244.524/0.648 ms
14/07/01-11:03:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 243.999/244.054/244.117/0.626 ms
14/07/01-11:05:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.096/244.203/244.396/0.111 ms
14/07/01-11:06:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.141/244.352/244.732/0.204 ms
14/07/01-11:08:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.034/244.253/244.641/0.579 ms
14/07/01-11:10:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.053/244.243/244.481/0.644 ms
14/07/01-11:11:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 243.987/244.236/244.661/0.590 ms
14/07/01-11:13:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 243.990/244.160/244.277/0.634 ms
14/07/01-11:15:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.129/244.328/244.886/0.281 ms
14/07/01-11:16:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 244.098/244.193/244.259/0.544 ms
14/07/01-11:18:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.069/244.159/244.242/0.067 ms
14/07/01-11:20:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.100/244.195/244.282/0.317 ms
14/07/01-11:21:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 243.487/244.147/244.473/0.340 ms
14/07/01-11:23:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.359/244.238/244.906/0.501 ms
14/07/01-11:25:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.115/244.221/244.316/0.322 ms
14/07/01-11:26:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 244.109/244.198/244.321/0.321 ms
14/07/01-11:28:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 244.096/244.167/244.297/0.069 ms
14/07/01-11:30:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.097/244.710/245.527/0.879 ms
14/07/01-11:31:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.107/244.215/244.496/0.561 ms
14/07/01-11:33:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.088/244.225/244.406/0.556 ms
14/07/01-11:35:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 244.261/244.322/244.435/0.628 ms
14/07/01-11:36:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 244.016/244.336/244.640/0.584 ms
14/07/01-11:38:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.064/244.158/244.325/0.632 ms
14/07/01-11:40:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.074/244.130/244.200/0.626 ms
14/07/01-11:41:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 244.026/244.823/246.833/1.151 ms
14/07/01-11:43:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.618/250.098/255.320/4.542 ms
14/07/01-11:45:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.956/245.011/245.526/0.670 ms
14/07/01-11:47:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.952/259.666/267.872/6.713 ms
14/07/01-11:48:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.045/244.160/244.430/0.140 ms
14/07/01-11:50:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.146/244.193/244.280/0.046 ms
14/07/01-11:52:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.228/244.848/245.930/0.855 ms
14/07/01-11:53:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.130/244.357/245.143/0.826 ms
14/07/01-11:55:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.017/244.410/245.238/0.773 ms
14/07/01-11:57:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.013/244.891/246.181/0.879 ms
14/07/01-11:58:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.403/244.975/246.184/0.769 ms
14/07/01-12:00:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.256/245.085/247.089/1.166 ms
14/07/01-12:02:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.161/244.481/245.225/0.737 ms
14/07/01-12:04:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.297/247.948/253.307/4.033 ms
14/07/01-12:06:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.222/244.645/245.075/0.681 ms
14/07/01-12:07:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.132/244.637/245.422/0.536 ms
14/07/01-12:09:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 244.101/244.616/245.669/0.751 ms
14/07/01-12:11:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 244.185/244.239/244.353/0.317 ms
14/07/01-12:13:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 243.340/244.094/244.419/0.670 ms
14/07/01-12:15:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.174/244.406/245.087/0.343 ms
14/07/01-12:16:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.260/244.951/247.090/1.210 ms
14/07/01-12:18:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 244.528/245.052/245.230/0.516 ms
14/07/01-12:20:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.454/246.484/250.730/2.290 ms
14/07/01-12:22:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 249.161/250.627/253.729/1.721 ms
14/07/01-12:24:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.572/247.427/252.445/2.768 ms
