14/07/01-10:09:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 53.587/53.724/54.197/0.237 ms
14/07/01-10:10:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.595/53.649/53.758/0.214 ms
14/07/01-10:12:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.489/53.564/53.623/0.297 ms
14/07/01-10:14:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 54.337/55.246/55.914/0.705 ms
14/07/01-10:15:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.550/53.642/53.860/0.235 ms
14/07/01-10:17:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.546/53.669/54.033/0.345 ms
14/07/01-10:19:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 53.573/54.132/55.519/0.790 ms
14/07/01-10:20:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.542/53.685/54.009/0.302 ms
14/07/01-10:22:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.568/53.622/53.735/0.298 ms
14/07/01-10:24:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 53.529/53.658/53.864/0.111 ms
14/07/01-10:25:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.585/53.635/53.684/0.150 ms
14/07/01-10:27:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.607/53.721/54.055/0.224 ms
14/07/01-10:29:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 53.589/53.611/53.627/0.147 ms
14/07/01-10:31:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.523/53.584/53.633/0.039 ms
14/07/01-10:32:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 53.640/53.920/54.372/0.398 ms
14/07/01-10:34:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 53.567/53.666/53.954/0.206 ms
14/07/01-10:36:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.506/53.776/54.406/0.352 ms
14/07/01-10:37:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.539/53.587/53.622/0.294 ms
14/07/01-10:39:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.577/53.926/54.253/0.332 ms
14/07/01-10:41:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.567/53.601/53.627/0.293 ms
14/07/01-10:42:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.544/53.576/53.627/0.294 ms
14/07/01-10:44:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.578/53.605/53.621/0.207 ms
14/07/01-10:46:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.619/53.828/54.278/0.298 ms
14/07/01-10:47:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 53.538/53.710/54.308/0.299 ms
14/07/01-10:49:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.557/53.592/53.606/0.147 ms
14/07/01-10:51:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.543/53.664/54.010/0.175 ms
14/07/01-10:52:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 53.545/53.740/54.269/0.373 ms
14/07/01-10:54:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.582/53.611/53.649/0.027 ms
14/07/01-10:56:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.656/53.828/54.362/0.340 ms
14/07/01-10:57:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.560/53.717/54.061/0.242 ms
14/07/01-10:59:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.545/53.781/54.364/0.416 ms
14/07/01-11:01:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.557/53.893/54.427/0.470 ms
14/07/01-11:02:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.631/54.168/55.664/0.788 ms
14/07/01-11:04:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 53.597/53.753/54.205/0.370 ms
14/07/01-11:06:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.598/53.631/53.679/0.030 ms
14/07/01-11:07:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.570/54.533/58.306/1.909 ms
14/07/01-11:09:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.559/53.721/54.068/0.343 ms
14/07/01-11:11:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.551/53.594/53.629/0.026 ms
14/07/01-11:12:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.577/54.146/56.157/1.039 ms
14/07/01-11:14:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 53.527/53.654/53.969/0.333 ms
14/07/01-11:16:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.577/54.996/59.105/2.070 ms
14/07/01-11:17:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.551/53.602/53.667/0.296 ms
14/07/01-11:19:32 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 53.789/54.781/55.507/0.653 ms
14/07/01-11:21:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.642/54.249/54.939/0.569 ms
14/07/01-11:22:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.494/54.012/55.705/0.885 ms
14/07/01-11:24:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.566/53.651/53.937/0.143 ms
14/07/01-11:26:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.601/53.690/53.895/0.311 ms
14/07/01-11:27:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.567/53.593/53.606/0.147 ms
14/07/01-11:29:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.552/53.599/53.699/0.297 ms
14/07/01-11:31:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.602/53.980/55.416/0.775 ms
14/07/01-11:32:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.520/53.596/53.711/0.063 ms
14/07/01-11:34:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.550/53.603/53.651/0.256 ms
14/07/01-11:36:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.620/53.923/54.122/0.276 ms
14/07/01-11:37:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.545/53.686/53.952/0.325 ms
14/07/01-11:39:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.555/53.602/53.694/0.259 ms
14/07/01-11:41:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.573/53.952/54.639/0.467 ms
14/07/01-11:42:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.596/53.620/53.659/0.148 ms
14/07/01-11:44:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.526/53.724/54.315/0.361 ms
14/07/01-11:46:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.579/53.646/53.738/0.155 ms
14/07/01-11:47:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.585/53.661/53.854/0.103 ms
14/07/01-11:49:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.580/54.718/56.446/1.170 ms
14/07/01-11:51:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.612/53.742/53.945/0.137 ms
14/07/01-11:52:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.567/53.871/54.818/0.540 ms
14/07/01-11:54:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.558/53.698/54.055/0.238 ms
14/07/01-11:56:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.528/53.608/53.682/0.155 ms
14/07/01-11:58:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.575/53.732/54.187/0.272 ms
14/07/01-11:59:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.577/53.710/54.150/0.336 ms
14/07/01-12:01:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.652/53.864/54.060/0.174 ms
14/07/01-12:03:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 53.539/53.602/53.635/0.255 ms
14/07/01-12:05:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.577/53.755/54.274/0.392 ms
14/07/01-12:07:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.541/53.731/54.140/0.361 ms
14/07/01-12:09:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.606/53.662/53.726/0.044 ms
14/07/01-12:10:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.582/53.615/53.655/0.148 ms
14/07/01-12:12:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.550/53.593/53.657/0.037 ms
14/07/01-12:14:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.571/53.598/53.643/0.148 ms
14/07/01-12:16:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.582/53.630/53.672/0.149 ms
14/07/01-12:18:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.582/53.677/53.839/0.305 ms
14/07/01-12:19:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.604/54.669/58.401/1.871 ms
14/07/01-12:21:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.610/53.647/53.725/0.152 ms
14/07/01-12:23:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 53.583/53.721/54.074/0.274 ms
14/07/01-12:25:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.611/53.765/54.161/0.324 ms
14/07/01-12:27:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.612/53.648/53.680/0.254 ms
14/07/01-12:29:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.591/53.641/53.692/0.295 ms
14/07/01-12:30:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.616/53.820/54.526/0.459 ms
14/07/01-12:32:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.574/53.618/53.667/0.294 ms
14/07/01-12:34:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.618/54.435/57.336/1.473 ms
14/07/01-12:36:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 53.646/53.749/53.951/0.233 ms
14/07/01-12:38:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 53.653/56.231/65.674/4.727 ms
14/07/01-12:40:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.533/53.570/53.624/0.255 ms
14/07/01-12:41:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.598/53.727/53.841/0.094 ms
14/07/01-12:43:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.700/55.277/57.866/1.491 ms
14/07/01-12:45:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.560/53.664/53.787/0.081 ms
14/07/01-12:47:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 53.578/53.779/54.323/0.311 ms
14/07/01-12:49:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 53.574/53.754/54.244/0.322 ms
14/07/01-12:51:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 53.621/53.810/54.077/0.339 ms
14/07/01-12:52:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 53.628/53.863/54.423/0.362 ms
