14/07/01-10:08:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 251.673/257.119/264.242/5.425 ms
14/07/01-10:10:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 252.664/258.022/267.430/5.161 ms
14/07/01-10:12:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 251.807/260.536/265.420/4.957 ms
14/07/01-10:13:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 249.038/258.254/265.504/6.663 ms
14/07/01-10:15:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.580/254.842/264.665/4.949 ms
14/07/01-10:17:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 255.540/258.714/264.039/3.708 ms
14/07/01-10:18:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 253.369/257.048/262.232/3.143 ms
14/07/01-10:20:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 251.596/255.958/265.422/5.007 ms
14/07/01-10:22:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.267/258.062/264.874/4.704 ms
14/07/01-10:23:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 249.618/257.530/264.650/5.116 ms
14/07/01-10:25:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 251.451/253.636/257.658/2.262 ms
14/07/01-10:27:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.795/254.528/256.626/1.742 ms
14/07/01-10:28:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 251.829/255.139/258.632/2.749 ms
14/07/01-10:30:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 252.127/257.302/264.841/5.087 ms
14/07/01-10:32:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 252.158/256.704/261.643/4.073 ms
14/07/01-10:33:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 251.132/255.683/267.382/6.058 ms
14/07/01-10:35:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 253.563/256.754/260.770/2.601 ms
14/07/01-10:37:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 252.696/258.094/264.752/4.058 ms
14/07/01-10:38:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 251.137/254.833/259.359/2.883 ms
14/07/01-10:40:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 251.581/253.888/261.425/3.830 ms
14/07/01-10:42:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 256.972/260.337/264.181/2.502 ms
