14/07/01-10:09:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.718/175.805/175.863/0.060 ms
14/07/01-10:11:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 175.742/176.013/176.426/0.449 ms
14/07/01-10:12:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 175.743/176.093/176.632/0.625 ms
14/07/01-10:14:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.760/175.942/176.456/0.261 ms
14/07/01-10:16:17 - 5 packets transmitted, 5 received, 0% packet loss, time 3998ms rtt min/avg/max/mdev = 175.787/176.016/176.836/0.616 ms
14/07/01-10:17:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.917/176.106/176.686/0.544 ms
14/07/01-10:19:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.795/175.921/176.050/0.386 ms
14/07/01-10:21:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.743/175.833/175.975/0.281 ms
14/07/01-10:22:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.789/175.948/176.219/0.481 ms
14/07/01-10:24:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.823/175.995/176.276/0.565 ms
14/07/01-10:26:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.837/176.068/176.616/0.539 ms
14/07/01-10:28:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 175.756/176.005/176.627/0.490 ms
14/07/01-10:29:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 175.844/176.029/176.200/0.290 ms
14/07/01-10:31:21 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 175.822/175.867/175.900/0.376 ms
14/07/01-10:33:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.738/175.971/176.131/0.551 ms
14/07/01-10:34:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 175.734/175.950/176.360/0.341 ms
14/07/01-10:36:22 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 175.733/175.807/175.862/0.532 ms
14/07/01-10:38:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.761/176.044/176.253/0.499 ms
14/07/01-10:39:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 175.745/176.128/176.514/0.401 ms
