14/07/01-10:08:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 279.346/280.793/281.623/0.943 ms
14/07/01-10:10:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 276.937/279.673/281.290/1.822 ms
14/07/01-10:11:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 276.337/277.717/281.380/1.849 ms
14/07/01-10:13:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 276.517/281.284/286.208/3.636 ms
14/07/01-10:15:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 276.974/279.044/282.077/2.131 ms
14/07/01-10:16:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 276.346/278.658/281.812/2.399 ms
14/07/01-10:18:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 276.504/277.924/281.584/2.015 ms
14/07/01-10:20:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 276.515/278.567/281.231/2.036 ms
14/07/01-10:21:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 276.592/278.675/281.703/2.313 ms
14/07/01-10:23:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 276.272/279.313/282.155/2.515 ms
14/07/01-10:25:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 277.361/280.390/281.654/1.547 ms
14/07/01-10:26:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 276.590/279.961/287.263/4.094 ms
14/07/01-10:28:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 277.052/280.335/281.499/1.729 ms
14/07/01-10:30:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 277.098/280.681/281.690/1.855 ms
14/07/01-10:31:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 277.083/279.678/281.833/2.109 ms
14/07/01-10:33:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 276.336/280.403/281.826/2.134 ms
14/07/01-10:35:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 277.130/279.530/281.389/1.996 ms
14/07/01-10:36:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 276.641/280.506/283.052/2.126 ms
14/07/01-10:38:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 276.413/279.271/285.137/3.330 ms
14/07/01-10:40:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 276.515/277.802/281.211/1.869 ms
14/07/01-10:42:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 276.488/277.752/281.297/1.884 ms
14/07/01-10:43:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 276.466/278.577/281.345/2.187 ms
14/07/01-10:45:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 276.401/278.476/281.399/2.181 ms
14/07/01-10:47:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 364.393/391.456/410.705/18.007 ms
14/07/01-10:48:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 276.778/279.737/283.421/2.612 ms
14/07/01-10:50:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 276.295/279.446/281.558/2.280 ms
14/07/01-10:52:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 276.940/278.681/281.284/2.088 ms
14/07/01-10:53:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 276.771/279.698/282.337/2.190 ms
14/07/01-10:55:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 277.221/279.777/281.954/2.080 ms
14/07/01-10:57:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 276.367/278.890/281.718/2.311 ms
14/07/01-10:58:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 343.409/347.334/352.197/2.945 ms
14/07/01-11:00:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 276.419/280.205/285.910/3.447 ms
