14/07/01-10:09:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.894/177.950/177.992/0.379 ms
14/07/01-10:11:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.803/178.140/178.491/0.540 ms
14/07/01-10:12:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.894/178.050/178.479/0.347 ms
14/07/01-10:14:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.889/178.070/178.576/0.455 ms
14/07/01-10:16:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.892/177.941/178.019/0.045 ms
14/07/01-10:17:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.886/178.033/178.486/0.229 ms
14/07/01-10:19:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.870/178.272/179.275/0.703 ms
14/07/01-10:21:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.867/177.971/178.077/0.068 ms
14/07/01-10:22:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.847/178.067/178.334/0.195 ms
14/07/01-10:24:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.879/177.957/178.081/0.277 ms
14/07/01-10:26:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.912/178.064/178.571/0.454 ms
14/07/01-10:27:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 177.858/177.958/178.036/0.537 ms
14/07/01-10:29:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.982/178.237/178.611/0.295 ms
14/07/01-10:31:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.821/178.013/178.295/0.160 ms
14/07/01-10:32:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 177.882/178.180/178.391/0.566 ms
14/07/01-10:34:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.839/177.920/178.013/0.536 ms
14/07/01-10:36:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.947/178.123/178.447/0.322 ms
14/07/01-10:37:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 177.807/177.895/177.947/0.466 ms
14/07/01-10:39:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.918/177.957/177.989/0.462 ms
14/07/01-10:41:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.876/178.108/178.839/0.590 ms
14/07/01-10:42:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.911/177.947/178.017/0.534 ms
14/07/01-10:44:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.857/177.952/178.029/0.059 ms
14/07/01-10:46:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.848/178.147/178.462/0.452 ms
14/07/01-10:47:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.916/178.258/178.631/0.544 ms
14/07/01-10:49:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.951/178.215/178.777/0.482 ms
14/07/01-10:51:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 177.877/177.966/178.054/0.061 ms
14/07/01-10:53:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.854/178.060/178.498/0.439 ms
14/07/01-10:54:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.937/178.116/178.544/0.512 ms
14/07/01-10:56:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.812/177.849/177.927/0.534 ms
14/07/01-10:58:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.893/178.060/178.551/0.588 ms
14/07/01-10:59:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.936/177.993/178.044/0.534 ms
14/07/01-11:01:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 177.920/178.004/178.124/0.383 ms
14/07/01-11:03:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 178.018/178.257/178.758/0.605 ms
14/07/01-11:04:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.907/177.986/178.171/0.094 ms
14/07/01-11:06:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.889/177.979/178.141/0.471 ms
14/07/01-11:08:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.919/178.335/178.652/0.424 ms
14/07/01-11:09:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.903/177.970/178.054/0.272 ms
14/07/01-11:11:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.933/177.965/178.007/0.378 ms
14/07/01-11:13:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 177.913/177.994/178.053/0.046 ms
14/07/01-11:14:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.908/178.204/178.511/0.356 ms
14/07/01-11:16:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.964/178.006/178.085/0.464 ms
14/07/01-11:18:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.926/178.037/178.355/0.557 ms
14/07/01-11:19:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.936/178.863/182.076/1.695 ms
14/07/01-11:21:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.930/178.114/178.711/0.401 ms
14/07/01-11:23:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.939/178.114/178.397/0.315 ms
14/07/01-11:24:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.884/177.968/178.009/0.044 ms
14/07/01-11:26:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.791/177.827/177.873/0.462 ms
14/07/01-11:28:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 177.780/177.961/178.402/0.443 ms
14/07/01-11:29:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.821/179.645/186.543/3.459 ms
14/07/01-11:31:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.719/177.922/178.389/0.239 ms
14/07/01-11:33:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 177.785/177.902/177.991/0.075 ms
14/07/01-11:34:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.754/177.894/178.076/0.293 ms
14/07/01-11:36:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 177.788/177.869/177.959/0.059 ms
14/07/01-11:38:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 177.697/177.823/177.922/0.467 ms
14/07/01-11:39:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 177.889/178.118/178.457/0.583 ms
