14/07/01-10:08:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 245.669/247.538/250.352/2.273 ms
14/07/01-10:09:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 245.745/246.627/250.071/1.778 ms
14/07/01-10:11:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 245.901/249.298/250.259/1.728 ms
14/07/01-10:13:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 245.737/248.584/250.493/2.094 ms
14/07/01-10:14:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 245.724/246.774/250.157/1.784 ms
14/07/01-10:16:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 245.747/248.817/252.385/2.674 ms
14/07/01-10:18:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 245.682/246.621/250.199/1.895 ms
14/07/01-10:19:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 245.701/246.612/250.126/1.757 ms
14/07/01-10:21:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 245.702/248.393/250.177/2.144 ms
14/07/01-10:23:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 245.754/249.280/250.240/1.819 ms
14/07/01-10:24:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 245.756/248.491/250.573/2.317 ms
14/07/01-10:26:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 245.709/246.713/250.449/1.971 ms
14/07/01-10:28:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 245.835/248.575/250.607/2.140 ms
14/07/01-10:29:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 245.712/247.508/250.110/2.213 ms
14/07/01-10:31:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 250.093/250.159/250.222/0.319 ms
