14/07/01-10:08:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 364.954/367.024/369.844/2.289 ms
14/07/01-10:10:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 364.193/367.856/371.913/3.157 ms
14/07/01-10:12:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 365.362/367.863/370.275/2.163 ms
14/07/01-10:14:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 363.487/368.702/370.488/2.625 ms
14/07/01-10:15:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 364.292/368.069/371.244/2.587 ms
14/07/01-10:17:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 363.809/368.174/369.765/2.350 ms
14/07/01-10:19:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 363.264/366.594/369.653/2.772 ms
14/07/01-10:20:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 364.565/366.251/368.509/1.300 ms
14/07/01-10:22:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 363.295/366.285/369.804/2.904 ms
14/07/01-10:24:03 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 365.450/367.335/368.332/1.133 ms
14/07/01-10:25:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 364.100/366.374/368.260/1.525 ms
14/07/01-10:27:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 364.644/367.656/370.336/2.259 ms
14/07/01-10:29:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 363.419/366.279/369.622/2.494 ms
14/07/01-10:30:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 363.331/366.783/370.301/2.435 ms
14/07/01-10:32:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.520/367.705/369.987/2.399 ms
14/07/01-10:34:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 363.300/365.542/368.219/2.245 ms
14/07/01-10:35:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.496/367.482/370.555/2.265 ms
14/07/01-10:37:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 363.804/365.975/367.958/1.496 ms
14/07/01-10:39:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 363.216/366.199/368.268/1.865 ms
14/07/01-10:40:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 363.358/365.885/370.674/2.622 ms
14/07/01-10:42:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 363.549/366.481/371.499/2.858 ms
14/07/01-10:44:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 363.183/366.721/369.756/3.007 ms
14/07/01-10:45:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.239/368.046/371.811/2.905 ms
14/07/01-10:47:28 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 363.638/367.208/369.784/2.775 ms
14/07/01-10:49:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 363.427/366.566/370.218/2.686 ms
14/07/01-10:50:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 363.578/366.321/369.661/2.723 ms
14/07/01-10:52:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 363.738/366.503/370.296/2.424 ms
14/07/01-10:54:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 363.503/366.426/369.165/2.385 ms
14/07/01-10:55:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 365.700/366.837/368.037/1.120 ms
14/07/01-10:57:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 363.244/366.460/370.130/2.742 ms
14/07/01-10:59:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 364.151/367.669/370.320/2.350 ms
14/07/01-11:00:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 364.933/368.606/370.742/2.205 ms
14/07/01-11:02:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 363.322/366.966/370.730/3.144 ms
14/07/01-11:04:12 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 363.212/363.983/365.982/1.216 ms
14/07/01-11:05:53 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 363.183/368.267/372.284/3.014 ms
14/07/01-11:07:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 363.257/367.103/370.607/3.227 ms
14/07/01-11:09:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 365.384/366.342/367.828/1.245 ms
