14/07/01-10:50:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.918/244.119/244.394/0.651 ms
14/07/01-10:52:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 244.076/244.928/246.111/1.076 ms
14/07/01-10:53:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.976/244.050/244.188/0.321 ms
14/07/01-10:55:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 243.895/244.157/244.578/0.259 ms
14/07/01-10:57:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 244.112/244.396/244.553/0.157 ms
14/07/01-10:58:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 244.022/244.119/244.208/0.546 ms
14/07/01-11:00:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.014/244.046/244.119/0.443 ms
14/07/01-11:02:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 243.916/244.063/244.166/0.631 ms
14/07/01-11:03:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.102/244.401/245.149/0.498 ms
14/07/01-11:05:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.878/244.103/244.308/0.158 ms
14/07/01-11:07:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.954/244.179/244.392/0.143 ms
14/07/01-11:08:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 243.824/244.194/244.633/0.278 ms
14/07/01-11:10:36 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 243.849/244.014/244.151/0.452 ms
14/07/01-11:12:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.004/244.302/244.824/0.611 ms
14/07/01-11:13:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 243.993/244.137/244.421/0.562 ms
14/07/01-11:15:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 243.986/244.047/244.101/0.443 ms
14/07/01-11:17:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.061/244.220/244.425/0.338 ms
14/07/01-11:18:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.049/244.519/245.803/0.718 ms
14/07/01-11:20:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 243.922/244.214/244.766/0.618 ms
14/07/01-11:22:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.047/244.224/244.779/0.523 ms
14/07/01-11:24:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 243.946/244.107/244.226/0.452 ms
14/07/01-11:25:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.084/244.218/244.344/0.103 ms
14/07/01-11:27:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.017/244.175/244.435/0.464 ms
14/07/01-11:29:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.974/244.481/245.707/0.883 ms
14/07/01-11:30:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.876/244.025/244.228/0.640 ms
14/07/01-11:32:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 243.909/244.115/244.433/0.180 ms
14/07/01-11:34:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 243.914/244.178/244.448/0.169 ms
14/07/01-11:35:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.966/244.192/244.307/0.461 ms
14/07/01-11:37:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.997/244.141/244.321/0.552 ms
14/07/01-11:39:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.072/244.205/244.411/0.119 ms
14/07/01-11:40:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 244.258/244.452/244.881/0.585 ms
14/07/01-11:42:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.952/244.123/244.393/0.348 ms
14/07/01-11:44:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 244.046/244.733/247.143/1.285 ms
14/07/01-11:45:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.853/244.035/244.257/0.344 ms
14/07/01-11:47:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.979/244.226/244.430/0.642 ms
14/07/01-11:49:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 244.082/244.215/244.416/0.455 ms
14/07/01-11:50:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 243.888/244.544/245.390/0.663 ms
14/07/01-11:52:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.007/244.125/244.286/0.325 ms
14/07/01-11:54:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.071/244.175/244.330/0.323 ms
14/07/01-11:55:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 244.273/244.323/244.354/0.443 ms
14/07/01-11:57:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 243.952/244.112/244.244/0.328 ms
14/07/01-11:59:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 243.855/244.672/247.134/1.236 ms
14/07/01-12:01:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 244.032/244.134/244.242/0.447 ms
14/07/01-12:02:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 243.980/244.125/244.244/0.452 ms
