14/07/01-10:49:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.995/399.201/399.514/0.593 ms
14/07/01-10:51:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.126/398.153/398.247/0.047 ms
14/07/01-10:53:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.053/398.276/398.949/0.523 ms
14/07/01-10:54:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.146/398.763/400.250/1.145 ms
14/07/01-10:56:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.076/398.281/398.829/0.745 ms
14/07/01-10:58:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.068/398.208/398.436/0.577 ms
14/07/01-10:59:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.081/398.134/398.226/0.049 ms
14/07/01-11:01:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.054/398.201/398.357/0.698 ms
14/07/01-11:03:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.086/398.145/398.247/0.403 ms
14/07/01-11:04:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 460.272/483.234/492.686/11.748 ms
14/07/01-11:06:38 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.129/398.165/398.219/0.400 ms
14/07/01-11:08:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.038/398.125/398.221/0.404 ms
14/07/01-11:09:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.066/398.158/398.257/0.406 ms
14/07/01-11:11:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.054/398.310/398.867/0.492 ms
14/07/01-11:13:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.002/399.068/402.387/1.807 ms
14/07/01-11:15:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.058/398.124/398.193/0.799 ms
14/07/01-11:16:41 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.059/398.135/398.199/0.402 ms
14/07/01-11:18:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.093/398.193/398.436/0.702 ms
14/07/01-11:20:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.083/398.121/398.154/0.691 ms
14/07/01-11:21:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.048/398.118/398.223/0.800 ms
14/07/01-11:23:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.076/398.206/398.284/0.695 ms
14/07/01-11:25:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 397.995/398.144/398.295/0.414 ms
14/07/01-11:26:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.150/398.459/399.445/0.938 ms
14/07/01-11:28:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.086/398.153/398.218/0.799 ms
14/07/01-11:30:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 398.060/398.337/399.170/0.702 ms
14/07/01-11:31:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.070/398.222/398.601/0.600 ms
14/07/01-11:33:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.115/398.396/399.350/0.841 ms
14/07/01-11:35:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 398.050/398.136/398.200/0.800 ms
14/07/01-11:36:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.062/398.104/398.192/0.566 ms
14/07/01-11:38:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 398.078/398.124/398.217/0.566 ms
14/07/01-11:40:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 398.059/398.192/398.456/0.810 ms
14/07/01-11:41:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 398.062/398.190/398.518/0.433 ms
