14/07/01-10:49:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.652/281.702/281.790/0.477 ms
14/07/01-10:50:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.666/281.712/281.772/0.476 ms
14/07/01-10:52:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.628/281.721/281.916/0.351 ms
14/07/01-10:54:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.692/281.733/281.765/0.026 ms
14/07/01-10:55:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 281.674/281.746/281.793/0.583 ms
14/07/01-10:57:33 - 5 packets transmitted, 4 received, 20% packet loss, time 4000ms rtt min/avg/max/mdev = 282.933/282.963/282.996/0.532 ms
14/07/01-10:59:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.655/281.849/282.398/0.276 ms
14/07/01-11:00:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.679/281.754/281.893/0.085 ms
14/07/01-11:02:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 281.682/281.701/281.732/0.581 ms
14/07/01-11:04:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.664/281.704/281.731/0.671 ms
14/07/01-11:05:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 281.700/281.742/281.776/0.028 ms
14/07/01-11:07:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.596/281.750/281.894/0.680 ms
14/07/01-11:09:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 282.877/282.949/283.026/0.674 ms
14/07/01-11:10:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 281.668/281.745/281.861/0.481 ms
14/07/01-11:12:38 - 5 packets transmitted, 4 received, 20% packet loss, time 4010ms rtt min/avg/max/mdev = 282.936/282.963/282.989/0.532 ms
14/07/01-11:14:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 281.670/281.741/281.868/0.674 ms
