14/07/01-10:50:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.908/147.201/147.747/0.451 ms
14/07/01-10:51:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 147.247/148.844/151.016/1.496 ms
14/07/01-10:53:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 147.092/147.941/150.327/1.249 ms
14/07/01-10:55:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.811/147.159/147.589/0.453 ms
14/07/01-10:56:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.817/146.986/147.230/0.370 ms
14/07/01-10:58:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.820/147.025/147.239/0.146 ms
14/07/01-11:00:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 146.955/147.112/147.384/0.510 ms
14/07/01-11:01:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 146.947/147.101/147.449/0.180 ms
14/07/01-11:03:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.898/147.204/147.459/0.395 ms
14/07/01-11:05:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.989/147.185/147.461/0.157 ms
14/07/01-11:06:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.907/147.346/148.409/0.540 ms
14/07/01-11:08:34 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 146.773/147.638/150.508/1.478 ms
14/07/01-11:10:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.753/147.210/148.666/0.881 ms
14/07/01-11:11:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.816/147.084/147.547/0.367 ms
14/07/01-11:13:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 147.798/148.193/148.617/0.442 ms
14/07/01-11:15:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4007ms rtt min/avg/max/mdev = 146.960/147.167/147.330/0.283 ms
14/07/01-11:16:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 146.908/147.357/147.663/0.348 ms
14/07/01-11:18:37 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.779/147.118/147.664/0.304 ms
14/07/01-11:20:18 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 146.837/146.978/147.224/0.445 ms
14/07/01-11:21:58 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.956/147.179/147.420/0.522 ms
14/07/01-11:23:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 146.789/147.059/147.343/0.468 ms
14/07/01-11:25:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.953/147.171/147.450/0.299 ms
14/07/01-11:26:59 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.979/147.112/147.260/0.495 ms
14/07/01-11:28:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.903/147.256/147.829/0.402 ms
14/07/01-11:30:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.967/147.279/147.654/0.475 ms
14/07/01-11:32:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 146.878/147.012/147.208/0.365 ms
14/07/01-11:33:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.795/147.151/147.622/0.512 ms
14/07/01-11:35:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.807/147.160/147.382/0.326 ms
14/07/01-11:37:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.944/147.266/147.555/0.341 ms
14/07/01-11:38:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 146.876/147.014/147.182/0.272 ms
14/07/01-11:40:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 147.212/147.491/147.803/0.410 ms
14/07/01-11:42:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.942/147.167/147.662/0.550 ms
14/07/01-11:43:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 147.619/148.857/151.309/1.467 ms
14/07/01-11:45:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 146.930/147.098/147.329/0.505 ms
14/07/01-11:47:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 146.812/147.220/148.039/0.525 ms
14/07/01-11:48:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.811/147.216/147.524/0.486 ms
14/07/01-11:50:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 146.848/147.123/147.430/0.209 ms
