14/07/01-10:49:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 394.053/396.188/398.994/1.757 ms
14/07/01-10:51:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 395.111/396.346/397.485/0.796 ms
14/07/01-10:53:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 394.698/396.147/399.005/1.630 ms
14/07/01-10:54:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.038/395.363/396.396/0.878 ms
14/07/01-10:56:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.110/395.816/397.954/1.454 ms
14/07/01-10:58:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 395.652/398.903/403.618/3.154 ms
14/07/01-10:59:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 395.336/396.798/399.266/1.466 ms
14/07/01-11:01:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.842/395.929/398.325/1.951 ms
14/07/01-11:03:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 393.927/394.451/395.084/0.914 ms
14/07/01-11:04:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.218/395.441/396.144/1.067 ms
14/07/01-11:06:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 396.096/397.958/401.325/2.019 ms
14/07/01-11:08:08 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 394.606/395.978/397.631/1.385 ms
14/07/01-11:09:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.834/396.429/397.240/1.103 ms
14/07/01-11:11:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 395.055/397.581/398.981/1.553 ms
14/07/01-11:13:10 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 395.246/397.303/402.696/2.791 ms
14/07/01-11:14:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.227/397.125/405.839/4.372 ms
14/07/01-11:16:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 393.670/395.281/397.867/1.530 ms
14/07/01-11:18:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.287/395.668/397.079/1.064 ms
14/07/01-11:19:51 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 393.440/394.877/396.146/1.273 ms
14/07/01-11:21:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 394.470/397.134/399.359/2.022 ms
14/07/01-11:23:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 393.896/395.148/396.699/1.030 ms
14/07/01-11:24:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 393.250/395.057/395.920/1.142 ms
14/07/01-11:26:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 393.485/395.696/397.714/1.600 ms
14/07/01-11:28:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.576/396.181/397.565/1.420 ms
14/07/01-11:29:55 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.988/397.758/403.863/4.050 ms
14/07/01-11:31:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.537/395.739/397.259/1.134 ms
14/07/01-11:33:17 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.878/396.001/398.343/1.459 ms
14/07/01-11:34:58 - 5 packets transmitted, 5 received, 0% packet loss, time 3999ms rtt min/avg/max/mdev = 393.647/395.448/398.028/1.645 ms
14/07/01-11:36:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 392.995/395.042/396.066/1.347 ms
14/07/01-11:38:19 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.584/395.213/396.973/1.137 ms
14/07/01-11:40:00 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 393.073/394.869/395.636/0.993 ms
14/07/01-11:41:40 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.395/394.568/396.138/1.377 ms
14/07/01-11:43:21 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 393.979/396.223/400.746/2.477 ms
14/07/01-11:45:01 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 395.117/395.523/396.340/0.719 ms
14/07/01-11:46:42 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 395.105/395.692/397.785/1.047 ms
14/07/01-11:48:22 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 394.924/396.327/398.008/1.277 ms
14/07/01-11:50:02 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 395.402/396.330/397.788/1.084 ms
14/07/01-11:51:43 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 393.574/395.766/397.874/1.546 ms
14/07/01-11:53:23 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.425/394.880/395.318/0.534 ms
14/07/01-11:55:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.507/398.415/404.946/3.785 ms
14/07/01-11:56:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 395.025/396.792/399.151/1.987 ms
14/07/01-11:58:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 395.177/396.689/398.283/1.418 ms
14/07/01-12:00:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 394.780/395.758/397.128/1.035 ms
14/07/01-12:02:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 393.476/395.344/397.820/1.691 ms
14/07/01-12:03:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.120/396.722/401.001/2.442 ms
14/07/01-12:05:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 394.090/395.818/397.898/1.499 ms
14/07/01-12:07:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 393.411/395.063/396.386/1.035 ms
14/07/01-12:09:25 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 394.486/395.847/397.214/1.375 ms
14/07/01-12:11:15 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 395.117/396.432/398.231/1.200 ms
14/07/01-12:13:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 394.547/395.378/396.335/0.874 ms
14/07/01-12:14:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 393.454/394.512/395.988/0.878 ms
14/07/01-12:16:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 395.168/397.181/401.271/2.343 ms
14/07/01-12:18:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 395.370/398.095/401.803/2.230 ms
14/07/01-12:20:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 395.446/396.364/398.926/1.303 ms
14/07/01-12:22:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 393.938/395.228/396.903/1.231 ms
14/07/01-12:23:56 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 394.308/395.596/397.967/1.424 ms
14/07/01-12:25:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.060/394.957/395.813/0.988 ms
14/07/01-12:27:36 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.656/398.968/404.942/4.117 ms
14/07/01-12:29:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 395.158/396.917/398.405/1.538 ms
14/07/01-12:31:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 393.987/396.083/398.685/1.907 ms
14/07/01-12:33:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 393.882/394.824/397.472/1.459 ms
14/07/01-12:34:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 394.344/395.755/397.027/1.252 ms
14/07/01-12:36:48 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 393.744/395.593/397.735/1.395 ms
14/07/01-12:38:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 395.443/397.673/401.661/2.196 ms
14/07/01-12:40:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 394.720/396.981/398.191/1.544 ms
14/07/01-12:42:20 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 394.465/395.949/397.954/1.321 ms
