14/07/01-10:50:03 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.091/311.770/313.677/1.048 ms
14/07/01-10:51:44 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.124/311.696/313.273/1.016 ms
14/07/01-10:53:24 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.133/311.164/311.195/0.611 ms
14/07/01-10:55:04 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.067/311.144/311.193/0.355 ms
14/07/01-10:56:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.101/311.143/311.174/0.611 ms
14/07/01-10:58:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.106/311.138/311.178/0.023 ms
14/07/01-11:00:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.101/311.165/311.242/0.707 ms
14/07/01-11:01:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.117/311.681/313.869/1.202 ms
14/07/01-11:03:28 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.132/311.144/311.153/0.611 ms
14/07/01-11:05:08 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.125/311.163/311.205/0.354 ms
14/07/01-11:06:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.000/311.111/311.177/0.613 ms
14/07/01-11:08:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.142/311.174/311.217/0.706 ms
14/07/01-11:10:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.095/311.379/312.010/0.699 ms
14/07/01-11:11:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.133/311.352/311.696/0.735 ms
14/07/01-11:13:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.742/312.419/313.595/0.775 ms
14/07/01-11:15:12 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.132/311.155/311.189/0.022 ms
14/07/01-11:16:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 311.152/312.299/313.939/1.179 ms
14/07/01-11:18:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.104/311.159/311.259/0.613 ms
14/07/01-11:20:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 311.136/311.897/313.785/1.257 ms
14/07/01-11:21:53 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.108/312.225/314.345/1.295 ms
14/07/01-11:23:33 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.105/311.152/311.181/0.706 ms
14/07/01-11:25:14 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.117/311.180/311.287/0.613 ms
14/07/01-11:26:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.125/311.458/312.026/0.518 ms
14/07/01-11:28:35 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 311.116/311.162/311.270/0.357 ms
14/07/01-11:30:16 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.128/311.396/312.278/0.667 ms
14/07/01-11:31:57 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 311.087/311.163/311.230/0.355 ms
14/07/01-11:33:39 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 311.150/311.199/311.311/0.058 ms
