14/07/01-10:49:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 247.109/247.166/247.264/0.547 ms
14/07/01-10:51:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.042/247.106/247.172/0.630 ms
14/07/01-10:52:47 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 247.000/247.086/247.157/0.547 ms
14/07/01-10:54:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 247.076/247.129/247.177/0.316 ms
14/07/01-10:56:07 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 246.998/247.129/247.240/0.324 ms
14/07/01-10:57:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.074/247.133/247.187/0.318 ms
14/07/01-10:59:30 - 5 packets transmitted, 5 received, 0% packet loss, time 4000ms rtt min/avg/max/mdev = 247.035/247.096/247.143/0.316 ms
14/07/01-11:01:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 246.979/247.162/247.345/0.336 ms
14/07/01-11:02:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 247.068/247.771/250.375/1.302 ms
14/07/01-11:04:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 247.056/247.093/247.138/0.545 ms
14/07/01-11:06:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.079/247.109/247.165/0.629 ms
14/07/01-11:07:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 247.078/247.152/247.241/0.061 ms
14/07/01-11:09:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 247.084/247.151/247.187/0.316 ms
14/07/01-11:11:13 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 247.004/247.112/247.203/0.549 ms
14/07/01-11:12:54 - 5 packets transmitted, 5 received, 0% packet loss, time 4002ms rtt min/avg/max/mdev = 247.019/247.128/247.204/0.320 ms
