14/07/01-10:49:05 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 274.920/275.613/276.378/0.688 ms
14/07/01-10:50:45 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 275.377/277.627/281.233/2.647 ms
14/07/01-10:52:26 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 275.096/275.266/275.530/0.496 ms
14/07/01-10:54:06 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 275.239/278.390/283.158/2.901 ms
14/07/01-10:55:46 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.108/275.692/277.126/0.927 ms
14/07/01-10:57:27 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.125/276.632/279.663/1.716 ms
14/07/01-10:59:09 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 275.265/275.317/275.403/0.577 ms
14/07/01-11:00:49 - 5 packets transmitted, 5 received, 0% packet loss, time 4006ms rtt min/avg/max/mdev = 275.138/275.267/275.407/0.581 ms
14/07/01-11:02:29 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 275.187/275.470/275.758/0.387 ms
14/07/01-11:04:10 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 275.292/276.391/278.969/1.502 ms
14/07/01-11:05:50 - 5 packets transmitted, 5 received, 0% packet loss, time 4005ms rtt min/avg/max/mdev = 275.119/275.852/277.519/1.002 ms
14/07/01-11:07:31 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 275.230/276.017/277.148/0.970 ms
14/07/01-11:09:11 - 5 packets transmitted, 5 received, 0% packet loss, time 4004ms rtt min/avg/max/mdev = 275.018/276.027/277.976/1.078 ms
14/07/01-11:10:52 - 5 packets transmitted, 5 received, 0% packet loss, time 4001ms rtt min/avg/max/mdev = 275.203/275.450/276.039/0.650 ms
14/07/01-11:12:32 - 5 packets transmitted, 5 received, 0% packet loss, time 4003ms rtt min/avg/max/mdev = 275.458/276.132/277.437/0.798 ms
